Predicted function of gene	No. of genes
Hypothetical protein	149
Unknown product	75
Hypothetical secreted protein	20
Putative Zinc finger	18
Putative WD40 domain	11
putative btb	8
hypothetical conserved secreted protein precursor	7
Putative PDZ domain found in a variety of Eumetazoansignaling molecules	7
Putative ankyrin repeats	6
Putative leucine-rich repeats	6
Putative Bromodomain	5
Putative Basic leucine zipper	4
Putative Broad-Complex	4
Putative Catalytic domain of the Serine/Threoninekinase	4
Putative Homeodomain	4
Putative Lysophospholipid Acyltransferases	4
Putative basic helix-loop-helix-Per-ARNT-Sim	3
Putative Formin Homology 2 Domain	3
Putative Histidine phosphatase superfamily	3
Putative K homology RNA-binding domain	3
Putative Kinesin motor domain	3
Putative Septin	3
Putative SOX-TCF_HMG-box	3
putative v atpase 116kda subunit family	3
Putative Alcohol dehydrogenase transcriptionfactor Myb/SANT-like	2
putative alpha subunit of g protein	2
Putative anion exchange protein	2
Putative Armadillo/beta-catenin-like repeats	2
Putative BAH	2
Putative basic Helix-Loop-Helix-zipper	2
Putative CAP	2
Putative Catalytic domain of the Serine/ThreonineKinases	2
Putative Catalytic domain of the Serine/Threonineprotein kinases	2
Putative C-terminal Mad Homology 2	2
Putative Dock Homology Region 2	2
Putative Domain found in a variety of signalling protein	2
Putative Ecdysteroid kinase	2
Putative ELAV/HuD family splicing factor	2
Putative Eukaryotic long-chain fatty acid CoA synthetase	2
putative insect pheromone-binding family - signalP detected	2
Putative MBW66506.1 putative ubiquitin carboxyl-terminal hydrolase 6	2
Putative MBW68230.1 putative vesicle-associated membrane protein 2	2
Putative MER0260880 - family T3 unassigned peptidases (Dasypus novemcinctus	2
Putative multi drugresistance-associated protein	2
Putative Permease P	2
Putative Pleckstrin homology domain	2
Putative Present in	2
putative protein	2
Putative RING finger	2
Putative Sec7 domain	2
Putative SH3 domain-binding protein 5	2
Putative Sterile alpha motif	2
Putative Tetratricopeptide repeat	2
Putative The Bin/Amphiphysin/Rvs	2
Putative The F-BAR	2
Putative UniRef50_A0A1S4HDW8 Peptidase S1 domain-containing protein n=11Tax=gambiae species complex TaxID=44542 RepID=A0A1S4HDW8_ANOGA	2
Putative XP_035899182.1 transcription factor Sp4-like isoform X5	2
Putative XP_035899235.1 transient receptor potential cation channel proteinpainless-like isoform X1	2
Putative XP_035914612.1 TGF-beta receptor type-1 isoform X2	2
Putative XP_035917561.1 serine protease snake-like isoform X1	2
#N/A	2
40S ribosomal protein S3a; AltName: Full=C3 protein Length=269	1
Adenylate kinase; AltName: Full=ATP-AMP transphosphorylase; AltName:	1
Calcium-transporting ATPase sarcoplasmic/endoplasmic reticulum type; AltName:	1
Choline transporter-like 2 Length=790	1
Enolase-phosphatase E1; AltName: Full=2,3-diketo-5-methylthio-1-phosphopentane	1
Glutathione S-transferase 1, isoform B; AltName: Full=AgGst1-alpha; AltName:	1
Glutathione S-transferase D7; AltName: Full=Aggst1-7; AltName: Full=GST	1
Histone-arginine methyltransferase CARMER; AltName: Full=Coactivator-associated	1
NAD(P)H-hydrate epimerase; AltName: Full=NAD(P)HX epimerase Length=229	1
proteinral odorant-binding protein 67-like isoformx1 stephensi	1
Putative ABF66618.1 putative cytoplasmic carbonic anhydrase	1
Putative Acetyl-CoA carboxylase	1
Putative ADAM-TS Spacer 1 - signalP detected	1
