#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
AgamP4_3R:45763106-45764611   -            451 89840at6656          -            309  2.4e-119  395.3   0.8   1   2   8.7e-38   2.9e-36  122.5   0.1     2    85    11   104    10   117 0.90 -
AgamP4_3R:45763106-45764611   -            451 89840at6656          -            309  2.4e-119  395.3   0.8   2   2   1.3e-82   4.3e-81  269.7   0.0    95   306   181   439   170   450 0.84 -
AgamP4_3R:37009802-37012165   -            788 89840at6656          -            309   1.1e-16   58.1  11.0   1   7    0.0048      0.16    8.4   0.0   110   170    64   131    32   140 0.73 -
AgamP4_3R:37009802-37012165   -            788 89840at6656          -            309   1.1e-16   58.1  11.0   2   7   6.8e-06   0.00022   17.7   0.1   113   173   154   220   141   228 0.79 -
AgamP4_3R:37009802-37012165   -            788 89840at6656          -            309   1.1e-16   58.1  11.0   3   7       2.4        80   -0.5   0.0   112   134   248   270   243   280 0.80 -
AgamP4_3R:37009802-37012165   -            788 89840at6656          -            309   1.1e-16   58.1  11.0   4   7      0.87        29    1.0   0.0   143   170   378   403   345   413 0.60 -
AgamP4_3R:37009802-37012165   -            788 89840at6656          -            309   1.1e-16   58.1  11.0   5   7      0.41        13    2.1   0.0   111   168   380   448   371   458 0.65 -
AgamP4_3R:37009802-37012165   -            788 89840at6656          -            309   1.1e-16   58.1  11.0   6   7   8.4e-05    0.0028   14.2   0.1   134   170   468   504   451   513 0.81 -
AgamP4_3R:37009802-37012165   -            788 89840at6656          -            309   1.1e-16   58.1  11.0   7   7   2.9e-05   0.00096   15.7   0.1   109   212   521   630   507   633 0.78 -
AgamP4_2L:23645171-23646016   -            282 89840at6656          -            309   1.2e-15   54.7   0.5   1   3       2.4        80   -0.5   0.0   145   162    40    57     3    74 0.55 -
AgamP4_2L:23645171-23646016   -            282 89840at6656          -            309   1.2e-15   54.7   0.5   2   3   3.6e-10   1.2e-08   31.8   0.0   108   169    82   151    68   198 0.82 -
AgamP4_2L:23645171-23646016   -            282 89840at6656          -            309   1.2e-15   54.7   0.5   3   3   1.3e-05   0.00044   16.8   0.0   109   169   211   277   199   282 0.81 -
AgamP4_2R:14010526-14011476   -            317 89840at6656          -            309   2.7e-15   53.6   0.3   1   4       3.1     1e+02   -0.8   0.0   137   157     2    22     1    27 0.86 -
AgamP4_2R:14010526-14011476   -            317 89840at6656          -            309   2.7e-15   53.6   0.3   2   4   0.00029    0.0096   12.4   0.3   134   182    69   121    36   125 0.74 -
AgamP4_2R:14010526-14011476   -            317 89840at6656          -            309   2.7e-15   53.6   0.3   3   4   3.9e-08   1.3e-06   25.1   0.0   108   171   121   190   110   197 0.85 -
AgamP4_2R:14010526-14011476   -            317 89840at6656          -            309   2.7e-15   53.6   0.3   4   4    0.0003      0.01   12.3   0.0   103   175   201   282   192   291 0.77 -
AgamP4_3L:31279277-31281446   -            674 89840at6656          -            309   3.5e-15   53.2   0.1   1   4       1.1        36    0.7   0.0   111   140   352   381   338   408 0.78 -
AgamP4_3L:31279277-31281446   -            674 89840at6656          -            309   3.5e-15   53.2   0.1   2   4   3.1e-06    0.0001   18.9   0.0   112   172   426   492   395   499 0.82 -
AgamP4_3L:31279277-31281446   -            674 89840at6656          -            309   3.5e-15   53.2   0.1   3   4   7.9e-07   2.6e-05   20.8   0.0   109   174   507   578   501   583 0.86 -
AgamP4_3L:31279277-31281446   -            674 89840at6656          -            309   3.5e-15   53.2   0.1   4   4    0.0098      0.32    7.4   0.0   111   136   593   618   580   632 0.87 -
AgamP4_UNKN:25798770-25799561 -            264 89840at6656          -            309   8.7e-15   51.9   0.7   1   3   0.00052     0.017   11.6   0.2   135   181    17    67     1    70 0.78 -
AgamP4_UNKN:25798770-25799561 -            264 89840at6656          -            309   8.7e-15   51.9   0.7   2   3   2.7e-08   8.9e-07   25.6   0.0   108   171    68   137    56   144 0.85 -
AgamP4_UNKN:25798770-25799561 -            264 89840at6656          -            309   8.7e-15   51.9   0.7   3   3   0.00021    0.0069   12.9   0.0   103   175   148   229   139   239 0.77 -
AgamP4_3R:170125-171711       -            350 89840at6656          -            309   2.7e-14   50.3   0.3   1   4      0.34        11    2.3   0.0   108   136    16    44     5    77 0.83 -
AgamP4_3R:170125-171711       -            350 89840at6656          -            309   2.7e-14   50.3   0.3   2   4   1.8e-05   0.00058   16.4   0.0   114   174    77   142    57   151 0.84 -
AgamP4_3R:170125-171711       -            350 89840at6656          -            309   2.7e-14   50.3   0.3   3   4    0.0022     0.072    9.5   0.0    92   152   185   249   160   253 0.82 -
AgamP4_3R:170125-171711       -            350 89840at6656          -            309   2.7e-14   50.3   0.3   4   4   9.4e-06   0.00031   17.3   0.0   118   178   260   326   252   330 0.83 -
AgamP4_2R:4563302-4564801     -            500 89840at6656          -            309   1.4e-13   48.0   0.0   1   4    0.0016     0.054    9.9   0.0   111   136   212   237   197   244 0.84 -
AgamP4_2R:4563302-4564801     -            500 89840at6656          -            309   1.4e-13   48.0   0.0   2   4   1.1e-06   3.8e-05   20.3   0.0   109   167   260   325   238   335 0.74 -
AgamP4_2R:4563302-4564801     -            500 89840at6656          -            309   1.4e-13   48.0   0.0   3   4   0.00088     0.029   10.8   0.0   135   175   335   375   332   386 0.87 -
AgamP4_2R:4563302-4564801     -            500 89840at6656          -            309   1.4e-13   48.0   0.0   4   4      0.52        17    1.7   0.0   135   168   466   499   431   500 0.66 -
AgamP4_2R:3568901-3577236     -           1467 89840at6656          -            309     3e-13   46.9   2.8   1   4     0.007      0.23    7.8   0.1   116   172    17    79     5    93 0.81 -
AgamP4_2R:3568901-3577236     -           1467 89840at6656          -            309     3e-13   46.9   2.8   2   4   5.2e-07   1.7e-05   21.4   0.2    86   169    81   169    63   180 0.77 -
AgamP4_2R:3568901-3577236     -           1467 89840at6656          -            309     3e-13   46.9   2.8   3   4     0.041       1.4    5.3   0.0   107   151   871   920   862   935 0.78 -
AgamP4_2R:3568901-3577236     -           1467 89840at6656          -            309     3e-13   46.9   2.8   4   4    0.0038      0.13    8.7   0.0   111   170   966  1033   953  1043 0.80 -
AgamP4_3L:36689004-36689834   -            277 89840at6656          -            309     5e-13   46.2   1.2   1   6     0.035       1.1    5.6   0.0   138   171     2    35     1    41 0.89 -
AgamP4_3L:36689004-36689834   -            277 89840at6656          -            309     5e-13   46.2   1.2   2   6   2.1e-06   6.9e-05   19.4   0.3   114   168    14    74    11    79 0.78 -
AgamP4_3L:36689004-36689834   -            277 89840at6656          -            309     5e-13   46.2   1.2   3   6    0.0018     0.058    9.8   0.0   134   173    82   121    77   126 0.88 -
AgamP4_3L:36689004-36689834   -            277 89840at6656          -            309     5e-13   46.2   1.2   4   6      0.07       2.3    4.6   0.0    96   132   122   158   118   167 0.83 -
AgamP4_3L:36689004-36689834   -            277 89840at6656          -            309     5e-13   46.2   1.2   5   6       4.3   1.4e+02   -1.3   0.0   270   296   182   209   177   214 0.79 -
AgamP4_3L:36689004-36689834   -            277 89840at6656          -            309     5e-13   46.2   1.2   6   6       0.1       3.4    4.0   0.0   111   157   221   273   186   277 0.78 -
AgamP4_3L:36698245-36698961   -            239 89840at6656          -            309   1.1e-12   45.1   0.7   1   5    0.0057      0.19    8.2   0.0   135   171    14    50    10    54 0.92 -
AgamP4_3L:36698245-36698961   -            239 89840at6656          -            309   1.1e-12   45.1   0.7   2   5     1e-05   0.00034   17.1   0.2   133   168    54    89    50    96 0.91 -
AgamP4_3L:36698245-36698961   -            239 89840at6656          -            309   1.1e-12   45.1   0.7   3   5    0.0011     0.036   10.5   0.1   134   173    97   136    91   150 0.87 -
AgamP4_3L:36698245-36698961   -            239 89840at6656          -            309   1.1e-12   45.1   0.7   4   5     0.056       1.9    4.9   0.0    96   132   137   173   133   182 0.83 -
AgamP4_3L:36698245-36698961   -            239 89840at6656          -            309   1.1e-12   45.1   0.7   5   5       3.4   1.1e+02   -1.0   0.0   269   296   196   224   191   228 0.79 -
AgamP4_2R:14088685-14089743   -            353 89840at6656          -            309   1.6e-12   44.5   2.4   1   4   0.00051     0.017   11.6   0.0   110   169     9    74     4    77 0.85 -
AgamP4_2R:14088685-14089743   -            353 89840at6656          -            309   1.6e-12   44.5   2.4   2   4     0.001     0.033   10.6   0.0   110   171    51   122    38   138 0.81 -
AgamP4_2R:14088685-14089743   -            353 89840at6656          -            309   1.6e-12   44.5   2.4   3   4   3.1e-06    0.0001   18.9   0.0   111   173   151   221   121   229 0.80 -
AgamP4_2R:14088685-14089743   -            353 89840at6656          -            309   1.6e-12   44.5   2.4   4   4     0.005      0.16    8.3   0.3   109   169   251   318   241   326 0.80 -
AgamP4_2L:4140122-4140970     -            283 89840at6656          -            309     2e-12   44.2   4.1   1   3     9e-06    0.0003   17.3   0.0   108   170    12    80     2    89 0.86 -
AgamP4_2L:4140122-4140970     -            283 89840at6656          -            309     2e-12   44.2   4.1   2   3   5.9e-05    0.0019   14.7   0.1   107   174    92   164    81   169 0.84 -
AgamP4_2L:4140122-4140970     -            283 89840at6656          -            309     2e-12   44.2   4.1   3   3    0.0007     0.023   11.1   0.2   111   187   180   262   166   269 0.72 -
AgamP4_3R:34966164-34967360   -            349 89840at6656          -            309   2.7e-12   43.7   0.1   1   3    0.0056      0.19    8.2   0.0   133   172    93   132    62   148 0.76 -
AgamP4_3R:34966164-34967360   -            349 89840at6656          -            309   2.7e-12   43.7   0.1   2   3   4.9e-07   1.6e-05   21.5   0.1   100   169   178   255   169   261 0.81 -
AgamP4_3R:34966164-34967360   -            349 89840at6656          -            309   2.7e-12   43.7   0.1   3   3    0.0018     0.059    9.8   0.0    97   164   269   342   258   347 0.81 -
AgamP4_3L:8624534-8630790     -            983 89840at6656          -            309   4.4e-12   43.1   0.1   1   4     0.046       1.5    5.2   0.0   112   169   151   216   134   229 0.82 -
AgamP4_3L:8624534-8630790     -            983 89840at6656          -            309   4.4e-12   43.1   0.1   2   4   2.2e-07   7.3e-06   22.6   0.0   109   168   416   481   401   492 0.83 -
AgamP4_3L:8624534-8630790     -            983 89840at6656          -            309   4.4e-12   43.1   0.1   3   4    0.0032      0.11    8.9   0.0   213   287   499   569   496   589 0.83 -
AgamP4_3L:8624534-8630790     -            983 89840at6656          -            309   4.4e-12   43.1   0.1   4   4         6     2e+02   -1.8   0.0   216   245   589   617   582   627 0.76 -
AgamP4_2L:34692114-34693167   -            325 89840at6656          -            309   6.2e-12   42.6   0.0   1   3     0.027      0.88    5.9   0.0   136   169     5    38     2    45 0.92 -
AgamP4_2L:34692114-34693167   -            325 89840at6656          -            309   6.2e-12   42.6   0.0   2   3   3.3e-07   1.1e-05   22.1   0.1   116   170   159   219   112   231 0.80 -
AgamP4_2L:34692114-34693167   -            325 89840at6656          -            309   6.2e-12   42.6   0.0   3   3   0.00089     0.029   10.8   0.0    95   134   278   316   271   324 0.87 -
