#                                                                                --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name            accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#    ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
TCONS_00002705:236-2590  -            785 67166at6656          -            572  3.8e-293  972.4  12.7   1   3   1.3e-18   1.4e-16   59.2   0.2     1    42     3    44     3    69 0.93 -
TCONS_00002705:236-2590  -            785 67166at6656          -            572  3.8e-293  972.4  12.7   2   3    4e-217  4.4e-215  714.6   0.2    41   442    78   492    66   503 0.95 -
TCONS_00002705:236-2590  -            785 67166at6656          -            572  3.8e-293  972.4  12.7   3   3     1e-62   1.1e-60  204.8   2.5   438   567   626   759   618   772 0.91 -
TCONS_00018575:6433-6699 -             89 67166at6656          -            572   9.6e-14   49.9   0.0   1   1   9.1e-16   9.9e-14   49.8   0.0   460   548     4    89     1    89 0.91 -
TCONS_00027575:6419-6685 -             89 67166at6656          -            572   9.6e-14   49.9   0.0   1   1   9.1e-16   9.9e-14   49.8   0.0   460   548     4    89     1    89 0.91 -
TCONS_00033694:750-962   -             71 67166at6656          -            572   3.1e-13   48.2   1.0   1   1   3.3e-15   3.6e-13   48.0   1.0    70   129     2    67     1    69 0.87 -
TCONS_00033696:656-868   -             71 67166at6656          -            572   3.1e-13   48.2   1.0   1   1   3.3e-15   3.6e-13   48.0   1.0    70   129     2    67     1    69 0.87 -
TCONS_00033699:735-947   -             71 67166at6656          -            572   3.1e-13   48.2   1.0   1   1   3.3e-15   3.6e-13   48.0   1.0    70   129     2    67     1    69 0.87 -
TCONS_00034931:370-582   -             71 67166at6656          -            572   3.1e-13   48.2   1.0   1   1   3.3e-15   3.6e-13   48.0   1.0    70   129     2    67     1    69 0.87 -
TCONS_00036359:545-757   -             71 67166at6656          -            572   3.1e-13   48.2   1.0   1   1   3.3e-15   3.6e-13   48.0   1.0    70   129     2    67     1    69 0.87 -
TCONS_00036360:592-804   -             71 67166at6656          -            572   3.1e-13   48.2   1.0   1   1   3.3e-15   3.6e-13   48.0   1.0    70   129     2    67     1    69 0.87 -
TCONS_00037677:1176-1388 -             71 67166at6656          -            572   3.1e-13   48.2   1.0   1   1   3.3e-15   3.6e-13   48.0   1.0    70   129     2    67     1    69 0.87 -
TCONS_00038384:877-1089  -             71 67166at6656          -            572   3.1e-13   48.2   1.0   1   1   3.3e-15   3.6e-13   48.0   1.0    70   129     2    67     1    69 0.87 -
TCONS_00039008:820-1032  -             71 67166at6656          -            572   3.1e-13   48.2   1.0   1   1   3.3e-15   3.6e-13   48.0   1.0    70   129     2    67     1    69 0.87 -
TCONS_00000472:1255-1629 -            125 67166at6656          -            572   5.1e-13   47.5   1.1   1   1   5.5e-15     6e-13   47.2   1.1    68   129     1    68     1    74 0.87 -
TCONS_00000478:1509-1883 -            125 67166at6656          -            572   5.1e-13   47.5   1.1   1   1   5.5e-15     6e-13   47.2   1.1    68   129     1    68     1    74 0.87 -
