#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
de_novo.Agseq_70387.1:0-3200                          -           1067 17096at6656          -            616  1.2e-273  907.7  49.7   1   4   7.7e-53   8.6e-50  168.4   0.2     1   106    66   178    66   183 0.96 -
de_novo.Agseq_70387.1:0-3200                          -           1067 17096at6656          -            616  1.2e-273  907.7  49.7   2   4  4.6e-147  5.1e-144  479.6  23.3   103   383   329   646   321   653 0.91 -
de_novo.Agseq_70387.1:0-3200                          -           1067 17096at6656          -            616  1.2e-273  907.7  49.7   3   4   5.8e-12   6.5e-09   33.3   0.0   387   432   683   731   669   746 0.85 -
de_novo.Agseq_70387.1:0-3200                          -           1067 17096at6656          -            616  1.2e-273  907.7  49.7   4   4   3.9e-72   4.3e-69  232.1  10.9   430   616   758   982   751   982 0.81 -
de_novo.Agm54242U_210909_035710_37814790_ccs.1:0-2678 -            893 17096at6656          -            616  6.4e-219  727.0  40.9   1   4     6e-53   6.8e-50  168.7   0.2     1   106    66   178    66   183 0.96 -
de_novo.Agm54242U_210909_035710_37814790_ccs.1:0-2678 -            893 17096at6656          -            616  6.4e-219  727.0  40.9   2   4  3.2e-147  3.6e-144  480.1  23.3   103   383   329   646   321   653 0.91 -
de_novo.Agm54242U_210909_035710_37814790_ccs.1:0-2678 -            893 17096at6656          -            616  6.4e-219  727.0  40.9   3   4   5.3e-12     6e-09   33.5   0.1   387   431   683   730   669   740 0.84 -
de_novo.Agm54242U_210909_035710_37814790_ccs.1:0-2678 -            893 17096at6656          -            616  6.4e-219  727.0  40.9   4   4   1.6e-17   1.8e-14   51.7   1.4   565   616   752   808   731   808 0.85 -
de_novo.seqSigP-121129.1:0-2198                       -            709 17096at6656          -            616  3.6e-206  684.9  48.6   1   3  8.1e-129  9.1e-126  419.3  27.4   131   383     1   288     1   294 0.91 -
de_novo.seqSigP-121129.1:0-2198                       -            709 17096at6656          -            616  3.6e-206  684.9  48.6   2   3   3.5e-12     4e-09   34.1   0.0   387   432   325   373   311   388 0.84 -
de_novo.seqSigP-121129.1:0-2198                       -            709 17096at6656          -            616  3.6e-206  684.9  48.6   3   3   1.8e-72     2e-69  233.2  10.8   430   616   400   624   394   624 0.81 -
de_novo.Agm54242U_210909_035710_52693219_ccs.1:0-1031 -            344 17096at6656          -            616   8.1e-81  270.8  14.1   1   2   1.8e-12     2e-09   35.0   0.0   388   432    10    57     3    73 0.86 -
de_novo.Agm54242U_210909_035710_52693219_ccs.1:0-1031 -            344 17096at6656          -            616   8.1e-81  270.8  14.1   2   2     5e-73   5.7e-70  235.0  11.5   430   616    84   308    77   308 0.82 -
de_novo.Agm54242U_210909_035710_97386776_ccs.1:0-863  -            288 17096at6656          -            616   5.2e-63  212.0  10.7   1   2   9.6e-13   1.1e-09   35.9   0.0   387   432    40    88    26   104 0.84 -
de_novo.Agm54242U_210909_035710_97386776_ccs.1:0-863  -            288 17096at6656          -            616   5.2e-63  212.0  10.7   2   2   7.8e-55   8.8e-52  174.9   8.4   430   568   115   280   108   287 0.81 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /hpcdata/bcbb/homc/Barillaslab/Agam_hemo_transcriptomes/scripts/compare_txomes/busco/busco_downloads/lineages/arthropoda_odb10/hmms/17096at6656.hmm
# Target file:     /hpcdata/bcbb/homc/Barillaslab/Agam_hemo_transcriptomes/scripts/compare_txomes/busco/denovo_Agamhemo_BUSCO/run_arthropoda_odb10/metaeuk_output/initial_results/de_novo_transcriptome_with_genome_hits_and_expression_filtering.gffread.fa.modified.fas
# Option settings: hmmsearch --domtblout /hpcdata/bcbb/homc/Barillaslab/Agam_hemo_transcriptomes/scripts/compare_txomes/busco/denovo_Agamhemo_BUSCO/run_arthropoda_odb10/hmmer_output/initial_run_results/17096at6656.out --cpu 1 /hpcdata/bcbb/homc/Barillaslab/Agam_hemo_transcriptomes/scripts/compare_txomes/busco/busco_downloads/lineages/arthropoda_odb10/hmms/17096at6656.hmm /hpcdata/bcbb/homc/Barillaslab/Agam_hemo_transcriptomes/scripts/compare_txomes/busco/denovo_Agamhemo_BUSCO/run_arthropoda_odb10/metaeuk_output/initial_results/de_novo_transcriptome_with_genome_hits_and_expression_filtering.gffread.fa.modified.fas 
# Current dir:     /hpcdata/bcbb/homc/Barillaslab/Agam_hemo_transcriptomes/scripts/compare_txomes/busco
# Date:            Sun Jan 29 12:58:03 2023
# [ok]
