#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
AgamP4_3R:2590636-2591319   -            182 137197at6656         -            163   6.8e-43  141.2   0.1   1   2   5.5e-18   6.8e-17   56.7   0.0     2    61     1    63     1    81 0.90 -
AgamP4_3R:2590636-2591319   -            182 137197at6656         -            163   6.8e-43  141.2   0.1   2   2   4.8e-26     6e-25   82.9   0.1    59   147    90   182    85   182 0.91 -
AgamP4_2L:27405191-27432657 -            155 137197at6656         -            163     3e-38  126.1   0.0   1   1   2.9e-39   3.5e-38  125.9   0.0     7   137     5   138     1   150 0.87 -
AgamP4_2L:42577627-42578340 -            171 137197at6656         -            163   5.1e-36  118.9   0.2   1   1   5.1e-37   6.4e-36  118.6   0.2     2   153     1   164     1   170 0.88 -
AgamP4_3L:21991054-22012738 -            144 137197at6656         -            163   1.1e-34  114.5   0.5   1   1     1e-35   1.3e-34  114.3   0.5    12   144     1   143     1   144 0.87 -
AgamP4_2R:57485077-57599765 -            168 137197at6656         -            163   2.4e-34  113.4   0.1   1   1   2.3e-35   2.8e-34  113.2   0.1     4   148    14   167    11   168 0.90 -
AgamP4_2R:31246384-31376390 -            167 137197at6656         -            163   5.2e-34  112.3   0.2   1   1   5.1e-35   6.3e-34  112.1   0.2    12   155    20   166    13   167 0.87 -
AAAB01007859:9060-9770      -            191 137197at6656         -            163   6.1e-34  112.1   0.0   1   1   6.4e-35     8e-34  111.7   0.0     3   157     1   168     1   173 0.84 -
AgamP4_3L:12329787-12359790 -            152 137197at6656         -            163   6.5e-34  112.0   0.0   1   1   6.3e-35   7.8e-34  111.8   0.0    16   150     1   144     1   151 0.85 -
AgamP4_X:11847996-11853412  -            146 137197at6656         -            163     2e-33  110.5   1.4   1   2   2.7e-31   3.3e-30  100.0   0.3     2    95     1    97     1   100 0.96 -
