#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
AgamP4_3R:44086857-44088121 -            294 87575at6656          -            259   3.6e-67  223.6  37.9   1   3   1.4e-22   4.5e-21   72.6   8.2     3    66    38   110    36   111 0.86 -
AgamP4_3R:44086857-44088121 -            294 87575at6656          -            259   3.6e-67  223.6  37.9   2   3   8.4e-33   2.6e-31  106.1  17.2   118   210   111   214   110   216 0.90 -
AgamP4_3R:44086857-44088121 -            294 87575at6656          -            259   3.6e-67  223.6  37.9   3   3   4.2e-17   1.3e-15   54.6   0.2   208   259   236   293   228   293 0.91 -
AgamP4_2R:56833502-56835286 -            595 87575at6656          -            259   4.2e-32  108.7  32.0   1   3   0.00018    0.0056   13.3   0.0   182   238   114   173   104   179 0.78 -
AgamP4_2R:56833502-56835286 -            595 87575at6656          -            259   4.2e-32  108.7  32.0   2   3   1.6e-19   5.2e-18   62.5  10.4    37   238   179   406   175   412 0.83 -
AgamP4_2R:56833502-56835286 -            595 87575at6656          -            259   4.2e-32  108.7  32.0   3   3   1.5e-11   4.9e-10   36.4  18.0    28   205   375   570   369   574 0.79 -
AgamP4_2L:42069460-42070680 -            407 87575at6656          -            259   7.7e-28   94.7  36.8   1   3   5.9e-10   1.9e-08   31.2  12.6    71   215     3   174     1   175 0.61 -
AgamP4_2L:42069460-42070680 -            407 87575at6656          -            259   7.7e-28   94.7  36.8   2   3   2.4e-11   7.7e-10   35.8  14.0    44   198    93   273    92   297 0.72 -
AgamP4_2L:42069460-42070680 -            407 87575at6656          -            259   7.7e-28   94.7  36.8   3   3   2.8e-12     9e-11   38.8  12.5    39   136   303   407   279   407 0.80 -
AgamP4_3L:18354353-18355795 -            481 87575at6656          -            259   2.2e-27   93.3  28.1   1   3   1.1e-06   3.6e-05   20.4   1.9   103   237    22   167    14   169 0.59 -
AgamP4_3L:18354353-18355795 -            481 87575at6656          -            259   2.2e-27   93.3  28.1   2   3   6.5e-11     2e-09   34.4   2.9    67   182   136   269   134   276 0.83 -
AgamP4_3L:18354353-18355795 -            481 87575at6656          -            259   2.2e-27   93.3  28.1   3   3   1.6e-14     5e-13   46.2  11.6    39   215   275   478   271   481 0.63 -
AgamP4_2L:13516599-13517888 -            430 87575at6656          -            259   1.3e-26   90.7  29.2   1   3     4e-11   1.3e-09   35.1   0.3   105   258     2   179     1   180 0.81 -
AgamP4_2L:13516599-13517888 -            430 87575at6656          -            259   1.3e-26   90.7  29.2   2   3   1.5e-10   4.6e-09   33.2   8.3    39   239    73   304    55   310 0.76 -
AgamP4_2L:13516599-13517888 -            430 87575at6656          -            259   1.3e-26   90.7  29.2   3   3   4.7e-15   1.5e-13   47.9   6.9    40   203   241   420   236   426 0.82 -
AgamP4_3L:40293930-40295258 -            443 87575at6656          -            259     2e-24   83.6  44.0   1   4   5.2e-06   0.00017   18.3   0.2    83   180     5   122     1   125 0.40 -
AgamP4_3L:40293930-40295258 -            443 87575at6656          -            259     2e-24   83.6  44.0   2   4   7.2e-10   2.3e-08   30.9   5.1    37   182    80   246    60   249 0.77 -
AgamP4_3L:40293930-40295258 -            443 87575at6656          -            259     2e-24   83.6  44.0   3   4   3.5e-10   1.1e-08   32.0  10.0    29   143   189   318   186   325 0.79 -
AgamP4_3L:40293930-40295258 -            443 87575at6656          -            259     2e-24   83.6  44.0   4   4   5.9e-13   1.9e-11   41.0   7.9    40   199   253   435   250   441 0.82 -
AgamP4_2R:13929341-13929742 -            134 87575at6656          -            259   1.5e-23   80.7  14.8   1   2   2.5e-15     8e-14   48.8   4.5   103   182     1    86     1    89 0.91 -
AgamP4_2R:13929341-13929742 -            134 87575at6656          -            259   1.5e-23   80.7  14.8   2   2   8.5e-14   2.7e-12   43.8   2.7   102   183    45   133    42   134 0.90 -
AgamP4_3L:41489064-41490467 -            468 87575at6656          -            259   3.9e-23   79.3  32.3   1   4   4.2e-06   0.00013   18.6   2.9   103   179    19   106    16   108 0.50 -
AgamP4_3L:41489064-41490467 -            468 87575at6656          -            259   3.9e-23   79.3  32.3   2   4   5.8e-13   1.8e-11   41.1  17.9    41   219    69   278    67   279 0.77 -
AgamP4_3L:41489064-41490467 -            468 87575at6656          -            259   3.9e-23   79.3  32.3   3   4   3.6e-10   1.1e-08   31.9   6.2    70   219   199   371   186   373 0.69 -
AgamP4_3L:41489064-41490467 -            468 87575at6656          -            259   3.9e-23   79.3  32.3   4   4   1.3e-06   4.2e-05   20.2   0.5    42   118   356   440   352   447 0.82 -
AgamP4_3R:6224881-6225975   -            365 87575at6656          -            259   1.2e-21   74.5  16.6   1   3   5.4e-06   0.00017   18.2   8.8    86   216     5   136     1   138 0.58 -
AgamP4_3R:6224881-6225975   -            365 87575at6656          -            259   1.2e-21   74.5  16.6   2   3   2.7e-15   8.5e-14   48.7   2.2    38   181   120   279   115   283 0.84 -
AgamP4_3R:6224881-6225975   -            365 87575at6656          -            259   1.2e-21   74.5  16.6   3   3   0.00027    0.0085   12.7   0.1    41   104   288   356   283   360 0.81 -
AgamP4_X:6490723-6491985    -            421 87575at6656          -            259   2.7e-21   73.3  14.2   1   2   2.9e-12   9.2e-11   38.8   0.3    40   239    19   251    14   254 0.76 -
AgamP4_X:6490723-6491985    -            421 87575at6656          -            259   2.7e-21   73.3  14.2   2   2   1.7e-14   5.3e-13   46.1   8.1    27   255   144   411   135   420 0.70 -
AgamP4_2L:18785783-18786769 -            329 87575at6656          -            259   7.3e-21   71.9   3.4   1   2   1.6e-14   5.1e-13   46.2   0.1    73   182    10   135     3   180 0.80 -
AgamP4_2L:18785783-18786769 -            329 87575at6656          -            259   7.3e-21   71.9   3.4   2   2   2.4e-08   7.6e-07   25.9   1.2    32   141   172   294   148   301 0.61 -
AgamP4_3L:35480945-35481922 -            326 87575at6656          -            259   4.7e-19   65.9   0.7   1   2   2.4e-10   7.7e-09   32.5   0.3    99   181    36   130     9   132 0.78 -
AgamP4_3L:35480945-35481922 -            326 87575at6656          -            259   4.7e-19   65.9   0.7   2   2   4.9e-09   1.5e-07   28.2   0.0   146   255   167   293   160   299 0.83 -
AgamP4_2L:46222050-46222775 -            242 87575at6656          -            259   1.4e-18   64.4   6.2   1   1   1.4e-18   4.5e-17   59.5   6.2    39   237     6   239     1   241 0.77 -
AgamP4_3L:22070302-22071363 -            354 87575at6656          -            259   1.8e-18   64.1  15.1   1   3     3e-14   9.5e-13   45.3   7.9    43   183     2   163     1   187 0.79 -
AgamP4_3L:22070302-22071363 -            354 87575at6656          -            259   1.8e-18   64.1  15.1   2   3   1.1e-07   3.3e-06   23.8   0.1   105   218   122   233   120   252 0.64 -
AgamP4_3L:22070302-22071363 -            354 87575at6656          -            259   1.8e-18   64.1  15.1   3   3   1.8e-05   0.00056   16.5   1.7    85   192   195   325   193   337 0.38 -
AgamP4_3L:22200153-22201061 -            303 87575at6656          -            259   3.3e-17   59.9   8.2   1   2   4.4e-16   1.4e-14   51.3   6.4    62   236    17   221     1   239 0.58 -
AgamP4_3L:22200153-22201061 -            303 87575at6656          -            259   3.3e-17   59.9   8.2   2   2   2.8e-05    0.0009   15.9   0.2    83   154   161   239   156   302 0.51 -
AgamP4_X:863187-864833      -            199 87575at6656          -            259   1.8e-16   57.5   6.0   1   2   8.4e-10   2.7e-08   30.7   1.7    40   141     3   111     2   115 0.87 -
AgamP4_X:863187-864833      -            199 87575at6656          -            259   1.8e-16   57.5   6.0   2   2   7.3e-11   2.3e-09   34.2   1.9    39   136    94   198    86   199 0.68 -
AgamP4_2L:40511571-40512014 -            148 87575at6656          -            259   1.9e-16   57.4   0.2   1   1   9.1e-18   2.9e-16   56.8   0.2   127   247     2   138     1   147 0.83 -
AgamP4_3R:38706059-38706715 -            219 87575at6656          -            259   1.1e-15   54.9  16.5   1   1   1.1e-15   3.4e-14   50.0  16.5    37   201    15   209     1   218 0.73 -
AgamP4_3L:22315995-22317008 -            338 87575at6656          -            259     5e-15   52.7   8.7   1   2   5.8e-09   1.8e-07   28.0   3.5    86   182    15   124    10   126 0.84 -
AgamP4_3L:22315995-22317008 -            338 87575at6656          -            259     5e-15   52.7   8.7   2   2   2.8e-08   8.9e-07   25.7   0.2    37   237   128   337   126   338 0.67 -
AgamP4_3L:22703445-22704089 -            215 87575at6656          -            259   7.5e-15   52.2   0.0   1   1   1.3e-15   4.1e-14   49.8   0.0    42   201    14   199    10   215 0.77 -
AgamP4_3R:49952499-49953044 -            182 87575at6656          -            259   3.9e-14   49.8  15.4   1   2   0.00032      0.01   12.4   0.5   108   145     9    46     2    60 0.52 -
AgamP4_3R:49952499-49953044 -            182 87575at6656          -            259   3.9e-14   49.8  15.4   2   2   4.5e-13   1.4e-11   41.4   9.1    39   129    69   162    50   167 0.85 -
AgamP4_2R:5559165-5559878   -            238 87575at6656          -            259   1.4e-13   48.1   5.9   1   1   5.8e-15   1.8e-13   47.6   5.9   103   238    37   188    18   198 0.86 -
AgamP4_2L:46716618-46717424 -            269 87575at6656          -            259   1.5e-13   47.9   6.3   1   1   2.9e-13   9.2e-12   42.1   6.3    36   217    43   250    16   269 0.45 -
AgamP4_3L:24993010-24993498 -            163 87575at6656          -            259   3.8e-13   46.6   4.0   1   1   1.7e-13   5.3e-12   42.8   4.1   103   217     9   138     4   160 0.69 -
AgamP4_2R:36458554-36459210 -            219 87575at6656          -            259   8.6e-13   45.4   3.4   1   1   4.5e-14   1.4e-12   44.7   3.3    79   236    36   218    21   219 0.80 -
AgamP4_3L:19643096-19643650 -            185 87575at6656          -            259     2e-12   44.2   6.5   1   1   8.2e-14   2.6e-12   43.9   6.5    43   183    15   174     9   183 0.84 -
AgamP4_X:285799-286308      -            170 87575at6656          -            259   4.2e-12   43.2  11.5   1   2       0.4        13    2.3   0.0   185   198     2    15     1    28 0.61 -
AgamP4_X:285799-286308      -            170 87575at6656          -            259   4.2e-12   43.2  11.5   2   2     1e-12   3.3e-11   40.2   9.9    55   160    43   165    36   168 0.84 -
AgamP4_2L:41271619-41272257 -            213 87575at6656          -            259   4.4e-12   43.1  17.7   1   2   5.7e-05    0.0018   14.9   2.2   145   216     6    82     2    86 0.60 -
AgamP4_2L:41271619-41272257 -            213 87575at6656          -            259   4.4e-12   43.1  17.7   2   2   1.4e-09   4.4e-08   30.0   8.8    43   143    92   199    89   213 0.77 -
AgamP4_2L:46604369-46605034 -            222 87575at6656          -            259   4.5e-12   43.1   2.9   1   2   0.00029    0.0092   12.5   0.3    67   120     1    60     1    66 0.65 -
AgamP4_2L:46604369-46605034 -            222 87575at6656          -            259   4.5e-12   43.1   2.9   2   2   1.8e-11   5.5e-10   36.2   0.9    40   140    43   153    40   161 0.79 -
AAAB01008858:4449-4911      -            114 87575at6656          -            259   1.2e-11   41.7   0.4   1   1   1.4e-12   4.4e-11   39.8   0.4   174   256    16   110     1   113 0.76 -
AgamP4_3R:11830013-11830475 -            114 87575at6656          -            259   1.2e-11   41.7   0.4   1   1   1.4e-12   4.4e-11   39.8   0.4   174   256    16   110     1   113 0.76 -
AgamP4_X:6489376-6489939    -            188 87575at6656          -            259   2.6e-11   40.6   2.4   1   1   1.8e-11   5.7e-10   36.2   2.5    71   181    32   157    27   183 0.81 -
AgamP4_3R:27103529-27104086 -            186 87575at6656          -            259   4.7e-11   39.7   0.9   1   1   3.4e-12   1.1e-10   38.6   0.9    27   156    32   176    27   184 0.80 -
AgamP4_3R:21096150-21097181 -            344 87575at6656          -            259   4.7e-11   39.7  10.5   1   1   8.3e-12   2.6e-10   37.3   9.2     6    95    19   121     3   147 0.53 -
AgamP4_3R:42787211-42787720 -            170 87575at6656          -            259     6e-11   39.4   0.6   1   1   4.5e-12   1.4e-10   38.2   0.6    85   211    28   168    20   170 0.50 -
AgamP4_3R:13452296-13452775 -            160 87575at6656          -            259   6.1e-11   39.4   1.8   1   1   2.6e-12   8.3e-11   38.9   1.8    86   214     1   151     1   159 0.80 -
AgamP4_2R:47880881-47881336 -            152 87575at6656          -            259   6.9e-11   39.2   2.1   1   1   5.9e-12   1.9e-10   37.8   2.1    47   143    29   131     9   152 0.62 -
AgamP4_2R:45079425-45079985 -            187 87575at6656          -            259   8.4e-11   38.9   5.6   1   2     0.014      0.44    7.0   0.1   123   141    14    32     1    67 0.51 -
AgamP4_2R:45079425-45079985 -            187 87575at6656          -            259   8.4e-11   38.9   5.6   2   2   1.1e-10   3.5e-09   33.6   3.1    43   179    43   181    37   186 0.82 -
AgamP4_2L:46722095-46722661 -            189 87575at6656          -            259   8.8e-11   38.8   0.2   1   1   8.4e-12   2.7e-10   37.3   0.2   102   237    19   171     1   175 0.81 -
AgamP4_2R:515160-516074     -            305 87575at6656          -            259   1.1e-10   38.5  20.2   1   4    0.0001    0.0032   14.0   0.0    29   141    30    81     5    95 0.44 -
AgamP4_2R:515160-516074     -            305 87575at6656          -            259   1.1e-10   38.5  20.2   2   4    0.0012     0.038   10.6   3.4    65   132   104   172    99   182 0.75 -
AgamP4_2R:515160-516074     -            305 87575at6656          -            259   1.1e-10   38.5  20.2   3   4   0.00011    0.0036   13.9   0.4   176   218   189   234   178   242 0.71 -
AgamP4_2R:515160-516074     -            305 87575at6656          -            259   1.1e-10   38.5  20.2   4   4   0.00012    0.0038   13.8   3.8    39   101   217   286   212   301 0.74 -
AgamP4_2R:55850940-55851293 -            118 87575at6656          -            259   1.3e-10   38.3   1.4   1   1   9.4e-11     3e-09   33.8   1.4   167   239     3    86     1   112 0.65 -
AgamP4_3R:1494263-1494886   -            208 87575at6656          -            259   1.5e-10   38.1  14.3   1   2     0.003     0.096    9.2  14.2    56   139     4    94     2    97 0.80 -
AgamP4_3R:1494263-1494886   -            208 87575at6656          -            259   1.5e-10   38.1  14.3   2   2   2.8e-08   8.9e-07   25.7   0.0    67   141   108   189    99   208 0.84 -
AgamP4_3L:18556174-18556710 -            179 87575at6656          -            259   1.8e-10   37.8  10.1   1   1   7.6e-08   2.4e-06   24.3   1.8   106   195     1   108     1   110 0.70 -
AgamP4_3L:20583882-20584370 -            163 87575at6656          -            259   1.8e-10   37.8  14.8   1   1   1.1e-11   3.4e-10   36.9  14.8    58   192     7   163     3   163 0.77 -
AgamP4_2L:48890196-48897732 -            783 87575at6656          -            259     2e-10   37.7   1.1   1   2   2.7e-11   8.5e-10   35.6   1.1    44   131   559   652   535   667 0.75 -
AgamP4_2L:48890196-48897732 -            783 87575at6656          -            259     2e-10   37.7   1.1   2   2   0.00033     0.011   12.4   0.3   201   255   623   683   618   686 0.79 -
AgamP4_3L:40035826-40164249 -            246 87575at6656          -            259   2.6e-10   37.3   5.5   1   2   7.1e-09   2.3e-07   27.7   5.4    88   189    37   149    30   175 0.78 -
