# BUSCO version is: 5.4.2 
# The lineage dataset is: arthropoda_odb10 (Creation date: 2020-09-10, number of genomes: 90, number of BUSCOs: 1013)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
774at6656	Complete	de_novo.AGAP010490-RA.1:0-10487	3554.6	2395	https://www.orthodb.org/v10?query=774at6656	WD40-repeat-containing domain
980at6656	Complete	de_novo.AGAP000810-RA.1:0-8387	2243.0	1597	https://www.orthodb.org/v10?query=980at6656	leucine-rich repeat serine/threonine-protein kinase 1
997at6656	Complete	de_novo.Agm54242U_210909_035710_59966920_ccs.1:0-6572	3703.8	1785	https://www.orthodb.org/v10?query=997at6656	pre-mRNA-processing-splicing factor 8
1166at6656	Complete	de_novo.AGAP001780-RA.1:0-10553	2293.5	1860	https://www.orthodb.org/v10?query=1166at6656	E3 ubiquitin-protein ligase UBR5 isoform X1
1885at6656	Complete	de_novo.AGAP009143-RB.1:261-9422	1957.4	1793	https://www.orthodb.org/v10?query=1885at6656	SRCR-like domain
1990at6656	Complete	de_novo.Agm54242U_210909_035710_26740961_ccs.1:15-7325	2585.3	1906	https://www.orthodb.org/v10?query=1990at6656	dnaJ homolog subfamily C member 13
2148at6656	Complete	de_novo.AGAP003872-RA.1:0-9434	1494.5	920	https://www.orthodb.org/v10?query=2148at6656	Pecanex-like protein 1
2456at6656	Fragmented	de_novo.Agm54242U_210819_213017_6881725_ccs.1:194-1522	257.4	324	https://www.orthodb.org/v10?query=2456at6656	Translational activator GCN1
2473at6656	Duplicated	de_novo.Agseq_76508.1:0-2957	1084.3	643	https://www.orthodb.org/v10?query=2473at6656	TATA-binding protein-associated factor 172
2473at6656	Duplicated	de_novo.Agm54242U_210819_213017_69535469_ccs.1:0-2893	1034.2	635	https://www.orthodb.org/v10?query=2473at6656	TATA-binding protein-associated factor 172
2473at6656	Duplicated	de_novo.Agm54242U_210909_035710_10684299_ccs.1:376-2406	1012.3	535	https://www.orthodb.org/v10?query=2473at6656	TATA-binding protein-associated factor 172
3310at6656	Duplicated	de_novo.AGAP003021-RA.1:0-5027	2749.6	1438	https://www.orthodb.org/v10?query=3310at6656	Clathrin heavy chain
3310at6656	Duplicated	de_novo.Agm54242Ue_220404_200923_30606879_ccs.1:0-4784	2630.3	1378	https://www.orthodb.org/v10?query=3310at6656	Clathrin heavy chain
3585at6656	Complete	de_novo.AGAP029446-RA.1:0-7115	1676.1	1435	https://www.orthodb.org/v10?query=3585at6656	Dbl homology (DH) domain
3644at6656	Complete	de_novo.Agseq_79238.1:0-3200	1136.0	728	https://www.orthodb.org/v10?query=3644at6656	DENN domain-containing protein 4C isoform X1
4136at6656	Complete	de_novo.Agm54242U_210909_035710_174785711_ccs.1:1-1938	706.8	572	https://www.orthodb.org/v10?query=4136at6656	EGF-like, conserved site
4227at6656	Complete	de_novo.Agm54242U_210819_213017_93718219_ccs.1:207-6821	2272.9	1586	https://www.orthodb.org/v10?query=4227at6656	myotubularin-related protein 13
4864at6656	Complete	de_novo.AGAP000659.R358.1:66-6998	2421.0	1728	https://www.orthodb.org/v10?query=4864at6656	protein sidekick isoform X1
