#                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name             accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#     ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
TCONS_00021176:166-5010   -           1615 3644at6656           -            994         0 1332.9  35.2   1   6  7.2e-282  3.3e-279  928.2   3.4     1   572     1   684     1   691 0.86 -
TCONS_00021176:166-5010   -           1615 3644at6656           -            994         0 1332.9  35.2   2   6   3.8e-64   1.7e-61  207.5   0.2   564   721   711   890   684   912 0.84 -
TCONS_00021176:166-5010   -           1615 3644at6656           -            994         0 1332.9  35.2   3   6      0.05        23    1.9   0.0   694   759  1023  1089  1012  1115 0.60 -
TCONS_00021176:166-5010   -           1615 3644at6656           -            994         0 1332.9  35.2   4   6   1.5e-11   6.9e-09   33.4   0.8   736   807  1141  1213  1121  1223 0.70 -
TCONS_00021176:166-5010   -           1615 3644at6656           -            994         0 1332.9  35.2   5   6   9.3e-39   4.2e-36  123.4   6.2   800   912  1303  1447  1216  1463 0.75 -
TCONS_00021176:166-5010   -           1615 3644at6656           -            994         0 1332.9  35.2   6   6   1.7e-15   7.7e-13   46.4   0.1   895   994  1485  1612  1477  1612 0.76 -
TCONS_00013833:212-5140   -           1643 3644at6656           -            994         0 1330.9  37.9   1   6  7.4e-282  3.4e-279  928.1   3.3     1   572     1   684     1   691 0.86 -
TCONS_00013833:212-5140   -           1643 3644at6656           -            994         0 1330.9  37.9   2   6   3.9e-64   1.8e-61  207.4   0.2   564   721   711   890   684   912 0.84 -
TCONS_00013833:212-5140   -           1643 3644at6656           -            994         0 1330.9  37.9   3   6     0.051        23    1.8   0.0   694   759  1023  1089  1013  1117 0.60 -
TCONS_00013833:212-5140   -           1643 3644at6656           -            994         0 1330.9  37.9   4   6   1.7e-11   7.7e-09   33.2   1.7   753   807  1187  1241  1165  1252 0.85 -
TCONS_00013833:212-5140   -           1643 3644at6656           -            994         0 1330.9  37.9   5   6   1.1e-38   4.8e-36  123.3   6.4   800   912  1331  1475  1243  1491 0.74 -
TCONS_00013833:212-5140   -           1643 3644at6656           -            994         0 1330.9  37.9   6   6   1.7e-15   7.8e-13   46.4   0.1   895   994  1513  1640  1505  1640 0.76 -
TCONS_00027936:1503-8117  -           2205 3644at6656           -            994   8.7e-28   95.9   5.0   1   3   0.00069      0.32    8.0   0.0   193   240    44    90    26    97 0.89 -
TCONS_00027936:1503-8117  -           2205 3644at6656           -            994   8.7e-28   95.9   5.0   2   3   2.8e-23   1.3e-20   72.2   1.5   241   422   128   324   125   346 0.87 -
TCONS_00027936:1503-8117  -           2205 3644at6656           -            994   8.7e-28   95.9   5.0   3   3   5.2e-06    0.0024   15.0   0.1   453   533   396   471   387   473 0.89 -
TCONS_00030074:700-1836   -            379 3644at6656           -            994   8.4e-20   69.5   8.2   1   3      0.12        57    0.5   0.0     5    23     2    20     1    22 0.86 -
TCONS_00030074:700-1836   -            379 3644at6656           -            994   8.4e-20   69.5   8.2   2   3   0.00036      0.16    9.0   0.0   189   243    54   109    37   124 0.79 -
TCONS_00030074:700-1836   -            379 3644at6656           -            994   8.4e-20   69.5   8.2   3   3   1.4e-18   6.5e-16   56.6   7.1   230   422   160   374   151   376 0.79 -
TCONS_00030075:689-1825   -            379 3644at6656           -            994   8.4e-20   69.5   8.2   1   3      0.12        57    0.5   0.0     5    23     2    20     1    22 0.86 -
TCONS_00030075:689-1825   -            379 3644at6656           -            994   8.4e-20   69.5   8.2   2   3   0.00036      0.16    9.0   0.0   189   243    54   109    37   124 0.79 -
TCONS_00030075:689-1825   -            379 3644at6656           -            994   8.4e-20   69.5   8.2   3   3   1.4e-18   6.5e-16   56.6   7.1   230   422   160   374   151   376 0.79 -
TCONS_00031817:700-1836   -            379 3644at6656           -            994   8.4e-20   69.5   8.2   1   3      0.12        57    0.5   0.0     5    23     2    20     1    22 0.86 -
TCONS_00031817:700-1836   -            379 3644at6656           -            994   8.4e-20   69.5   8.2   2   3   0.00036      0.16    9.0   0.0   189   243    54   109    37   124 0.79 -
TCONS_00031817:700-1836   -            379 3644at6656           -            994   8.4e-20   69.5   8.2   3   3   1.4e-18   6.5e-16   56.6   7.1   230   422   160   374   151   376 0.79 -
TCONS_00032563:710-1846   -            379 3644at6656           -            994   8.4e-20   69.5   8.2   1   3      0.12        57    0.5   0.0     5    23     2    20     1    22 0.86 -
TCONS_00032563:710-1846   -            379 3644at6656           -            994   8.4e-20   69.5   8.2   2   3   0.00036      0.16    9.0   0.0   189   243    54   109    37   124 0.79 -
TCONS_00032563:710-1846   -            379 3644at6656           -            994   8.4e-20   69.5   8.2   3   3   1.4e-18   6.5e-16   56.6   7.1   230   422   160   374   151   376 0.79 -
TCONS_00034231:689-1825   -            379 3644at6656           -            994   8.4e-20   69.5   8.2   1   3      0.12        57    0.5   0.0     5    23     2    20     1    22 0.86 -
TCONS_00034231:689-1825   -            379 3644at6656           -            994   8.4e-20   69.5   8.2   2   3   0.00036      0.16    9.0   0.0   189   243    54   109    37   124 0.79 -
TCONS_00034231:689-1825   -            379 3644at6656           -            994   8.4e-20   69.5   8.2   3   3   1.4e-18   6.5e-16   56.6   7.1   230   422   160   374   151   376 0.79 -
TCONS_00037787:2337-3473  -            379 3644at6656           -            994   8.4e-20   69.5   8.2   1   3      0.12        57    0.5   0.0     5    23     2    20     1    22 0.86 -
TCONS_00037787:2337-3473  -            379 3644at6656           -            994   8.4e-20   69.5   8.2   2   3   0.00036      0.16    9.0   0.0   189   243    54   109    37   124 0.79 -
TCONS_00037787:2337-3473  -            379 3644at6656           -            994   8.4e-20   69.5   8.2   3   3   1.4e-18   6.5e-16   56.6   7.1   230   422   160   374   151   376 0.79 -
TCONS_00038146:2349-3485  -            379 3644at6656           -            994   8.4e-20   69.5   8.2   1   3      0.12        57    0.5   0.0     5    23     2    20     1    22 0.86 -
TCONS_00038146:2349-3485  -            379 3644at6656           -            994   8.4e-20   69.5   8.2   2   3   0.00036      0.16    9.0   0.0   189   243    54   109    37   124 0.79 -
TCONS_00038146:2349-3485  -            379 3644at6656           -            994   8.4e-20   69.5   8.2   3   3   1.4e-18   6.5e-16   56.6   7.1   230   422   160   374   151   376 0.79 -
TCONS_00038482:675-1811   -            379 3644at6656           -            994   8.4e-20   69.5   8.2   1   3      0.12        57    0.5   0.0     5    23     2    20     1    22 0.86 -
TCONS_00038482:675-1811   -            379 3644at6656           -            994   8.4e-20   69.5   8.2   2   3   0.00036      0.16    9.0   0.0   189   243    54   109    37   124 0.79 -
TCONS_00038482:675-1811   -            379 3644at6656           -            994   8.4e-20   69.5   8.2   3   3   1.4e-18   6.5e-16   56.6   7.1   230   422   160   374   151   376 0.79 -
TCONS_00061600:7604-12874 -           1757 3644at6656           -            994   5.5e-19   66.8   6.5   1   4         1   4.7e+02   -2.5   0.0   214   239    91   116    45   124 0.66 -
TCONS_00061600:7604-12874 -           1757 3644at6656           -            994   5.5e-19   66.8   6.5   2   4     0.016       7.3    3.5   0.1   247   272   230   255   222   260 0.83 -
TCONS_00061600:7604-12874 -           1757 3644at6656           -            994   5.5e-19   66.8   6.5   3   4   1.8e-20   8.3e-18   62.9   2.6   272   445   299   489   294   502 0.77 -
TCONS_00061600:7604-12874 -           1757 3644at6656           -            994   5.5e-19   66.8   6.5   4   4      0.95   4.4e+02   -2.4   0.0   499   525   622   647   617   658 0.82 -
TCONS_00061601:450-5726   -           1759 3644at6656           -            994   5.6e-19   66.8   6.5   1   4         1   4.7e+02   -2.5   0.0   214   239    91   116    45   124 0.66 -
TCONS_00061601:450-5726   -           1759 3644at6656           -            994   5.6e-19   66.8   6.5   2   4     0.016       7.3    3.5   0.1   247   272   230   255   222   260 0.83 -
TCONS_00061601:450-5726   -           1759 3644at6656           -            994   5.6e-19   66.8   6.5   3   4   1.8e-20   8.4e-18   62.9   2.6   272   445   299   489   294   502 0.77 -
TCONS_00061601:450-5726   -           1759 3644at6656           -            994   5.6e-19   66.8   6.5   4   4      0.95   4.4e+02   -2.4   0.0   499   525   622   647   617   658 0.82 -
TCONS_00064501:2387-7717  -           1777 3644at6656           -            994   9.7e-19   66.0   7.2   1   4         1   4.8e+02   -2.5   0.0   214   239    91   116    45   124 0.66 -
TCONS_00064501:2387-7717  -           1777 3644at6656           -            994   9.7e-19   66.0   7.2   2   4     0.016       7.4    3.5   0.1   247   272   230   255   222   260 0.83 -
TCONS_00064501:2387-7717  -           1777 3644at6656           -            994   9.7e-19   66.0   7.2   3   4   1.9e-20   8.5e-18   62.9   2.6   272   445   299   489   294   502 0.77 -
TCONS_00064501:2387-7717  -           1777 3644at6656           -            994   9.7e-19   66.0   7.2   4   4      0.99   4.5e+02   -2.4   0.0   499   525   622   647   617   657 0.82 -
TCONS_00063430:429-5834   -           1802 3644at6656           -            994     1e-18   65.9   7.2   1   4       1.1   4.9e+02   -2.5   0.0   214   239    91   116    45   124 0.66 -
TCONS_00063430:429-5834   -           1802 3644at6656           -            994     1e-18   65.9   7.2   2   4     0.016       7.5    3.4   0.1   247   272   230   255   222   260 0.83 -
TCONS_00063430:429-5834   -           1802 3644at6656           -            994     1e-18   65.9   7.2   3   4   1.9e-20   8.6e-18   62.8   2.6   272   445   299   489   294   502 0.77 -
TCONS_00063430:429-5834   -           1802 3644at6656           -            994     1e-18   65.9   7.2   4   4         1   4.6e+02   -2.5   0.0   499   525   622   647   617   657 0.82 -
TCONS_00059830:2413-7878  -           1822 3644at6656           -            994     1e-18   65.9   7.2   1   4       1.1   4.9e+02   -2.6   0.0   214   239    91   116    45   124 0.66 -
TCONS_00059830:2413-7878  -           1822 3644at6656           -            994     1e-18   65.9   7.2   2   4     0.017       7.6    3.4   0.1   247   272   230   255   222   260 0.83 -
