#                                                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                             accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                     ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
de_novo.Agseq_192624.1:9-932                              -            308 104898at6656         -            173   3.7e-49  165.2  30.3   1   3   6.2e-44   5.5e-42  141.8   7.5     2    97    10   110     9   113 0.89 -
de_novo.Agseq_192624.1:9-932                              -            308 104898at6656         -            173   3.7e-49  165.2  30.3   2   3   1.7e-08   1.5e-06   26.5   6.8    92   166   120   230   115   249 0.73 -
de_novo.Agseq_192624.1:9-932                              -            308 104898at6656         -            173   3.7e-49  165.2  30.3   3   3       7.2   6.3e+02   -1.6   1.0    77    96   284   303   271   308 0.62 -
de_novo.Agm54242U_210819_213017_165021400_ccs.1:39-311    -             91 104898at6656         -            173   2.4e-20   71.4   0.8   1   1   3.5e-22     3e-20   71.0   0.8     8    63     7    62     3    66 0.93 -
de_novo.Agm54242U_210909_035710_16123312_ccs.1:39-311     -             91 104898at6656         -            173   2.4e-20   71.4   0.8   1   1   3.5e-22     3e-20   71.0   0.8     8    63     7    62     3    66 0.93 -
de_novo.Agm54242U_210909_035710_7734070_ccs.1:39-311      -             91 104898at6656         -            173   2.4e-20   71.4   0.8   1   1   3.5e-22     3e-20   71.0   0.8     8    63     7    62     3    66 0.93 -
de_novo.Agm54242Ue_220404_200923_160891061_ccs.1:198-404  -             69 104898at6656         -            173   1.9e-18   65.2   1.7   1   1   2.2e-20   1.9e-18   65.2   1.7     6    64     6    66     1    69 0.89 -
de_novo.AGAP012194-RB.1:9-221                             -             71 104898at6656         -            173   3.6e-18   64.3   0.9   1   1   4.5e-20   3.9e-18   64.2   0.9     6    64     4    65     1    68 0.89 -
de_novo.Agm54242Ue_220404_200923_101255195_ccs.1:117-1151 -            345 104898at6656         -            173   2.5e-17   61.5   1.0   1   1   4.7e-19   4.1e-17   60.8   1.0     6    64    33    93    28   107 0.87 -
de_novo.seqSigP-224112.1:0-1076                           -            359 104898at6656         -            173   2.7e-17   61.5   1.0   1   1     5e-19   4.4e-17   60.8   1.0     6    64    33    93    28   107 0.87 -
de_novo.AGAP007107-RA.1:3-992                             -            330 104898at6656         -            173   7.6e-17   60.0   1.7   1   1   1.4e-18   1.2e-16   59.3   1.7     3    64     3    66     1    69 0.89 -
de_novo.Agm54242U_210909_035710_13305343_ccs.1:3-1082     -            360 104898at6656         -            173   8.8e-17   59.8   1.7   1   1   1.6e-18   1.4e-16   59.1   1.7     3    64     3    66     1    69 0.89 -
de_novo.AGAP001859-RA.1:339-542                           -             68 104898at6656         -            173   1.6e-16   58.9   0.2   1   1     2e-18   1.7e-16   58.8   0.2     6    63     5    63     1    67 0.88 -
de_novo.Agm54242U_210819_213017_81266191_ccs.1:280-483    -             68 104898at6656         -            173   1.6e-16   58.9   0.2   1   1     2e-18   1.7e-16   58.8   0.2     6    63     5    63     1    67 0.88 -
de_novo.Agm54242U_210909_035710_7406088_ccs.1:339-542     -             68 104898at6656         -            173   1.6e-16   58.9   0.2   1   1     2e-18   1.7e-16   58.8   0.2     6    63     5    63     1    67 0.88 -
de_novo.Agm54242U_210909_035710_25560957_ccs.1:3-1028     -            342 104898at6656         -            173   1.9e-16   58.7   0.2   1   1   3.4e-18     3e-16   58.1   0.2    12    64    15    66     2    80 0.88 -
de_novo.AGAP007565-RA.1:288-1355                          -            356 104898at6656         -            173   1.6e-15   55.6   0.4   1   1   2.7e-17   2.3e-15   55.1   0.4     6    67    14    77     8    83 0.87 -
de_novo.AGAP007565-RB.1:288-1355                          -            356 104898at6656         -            173   1.6e-15   55.6   0.4   1   1   2.7e-17   2.3e-15   55.1   0.4     6    67    14    77     8    83 0.87 -
de_novo.Agm54242U_210909_035710_92867422_ccs.1:288-1355   -            356 104898at6656         -            173   1.6e-15   55.6   0.4   1   1   2.7e-17   2.3e-15   55.1   0.4     6    67    14    77     8    83 0.87 -
de_novo.Agm54242U_210909_035710_164694730_ccs.1:69-242    -             58 104898at6656         -            173   1.8e-15   55.5   0.2   1   1     2e-17   1.8e-15   55.5   0.2     7    62     4    58     1    58 0.87 -
de_novo.Agm54242U_210819_213017_73859257_ccs.1:237-917    -            227 104898at6656         -            173   2.2e-15   55.2   0.2   1   1   3.6e-17   3.2e-15   54.7   0.2    12   114    12   108     2   116 0.79 -
de_novo.Agm54242U_210819_213017_92997914_ccs.1:9-681      -            199 104898at6656         -            173   4.3e-15   54.3   0.5   1   1   8.1e-17   7.1e-15   53.6   0.1     6    64     7    64     2    72 0.84 -
de_novo.Agm54242U_210819_213017_110755924_ccs.1:66-638    -            191 104898at6656         -            173   4.3e-15   54.3   0.1   1   1   8.8e-17   7.7e-15   53.4   0.1     7    64     5    61     2    69 0.84 -
de_novo.AGAP001810-RA.1:267-494                           -             76 104898at6656         -            173   5.9e-15   53.8   0.7   1   1   7.9e-17   6.9e-15   53.6   0.7     6    62    19    76    13    76 0.89 -
de_novo.Agm54242Ue_220404_200923_141953055_ccs.1:18-892   -            268 104898at6656         -            173   7.9e-15   53.4   0.1   1   1   1.6e-16   1.4e-14   52.6   0.1     7    64     5    61     2    69 0.84 -
de_novo.Agm54242U_210909_035710_1247814_ccs.1:216-773     -            186 104898at6656         -            173   1.1e-14   53.0   0.1   1   1   1.5e-16   1.3e-14   52.7   0.1     2    68    16    85    15   107 0.86 -
de_novo.AGAP009943-RA.1:0-1742                            -            581 104898at6656         -            173   4.5e-14   51.0   0.2   1   2   5.1e-16   4.5e-14   51.0   0.2    10    64    13    68     4    74 0.86 -
de_novo.AGAP009943-RA.1:0-1742                            -            581 104898at6656         -            173   4.5e-14   51.0   0.2   2   2      0.21        18    3.4   3.4    89   120   332   364   321   418 0.81 -
