#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
de_novo.AGAP001746-RA.1:0-782 -            261 137202at6656         -            156   8.4e-54  179.6   4.1   1   3   3.5e-08   6.5e-05   20.8   0.0     9    36    21    49    15    52 0.83 -
de_novo.AGAP001746-RA.1:0-782 -            261 137202at6656         -            156   8.4e-54  179.6   4.1   2   3   2.3e-26   4.2e-23   79.9   0.2    34   103    63   136    55   141 0.86 -
de_novo.AGAP001746-RA.1:0-782 -            261 137202at6656         -            156   8.4e-54  179.6   4.1   3   3   3.9e-26   7.4e-23   79.1   0.2    97   156   200   261   174   261 0.85 -
de_novo.Agseq_80997.1:0-248   -             83 137202at6656         -            156   2.6e-11   41.6   0.1   1   2   4.6e-09   8.5e-06   23.7   0.0     9    36    21    49    14    52 0.83 -
de_novo.Agseq_80997.1:0-248   -             83 137202at6656         -            156   2.6e-11   41.6   0.1   2   2   7.8e-07    0.0015   16.4   0.0    34    51    63    82    55    83 0.78 -
de_novo.Agseq_59442.1:63-1751 -            563 137202at6656         -            156      0.32    8.8  10.3   1   6      0.61   1.2e+03   -2.7   0.0   119   145     7    33     2    61 0.66 -
de_novo.Agseq_59442.1:63-1751 -            563 137202at6656         -            156      0.32    8.8  10.3   2   6    0.0002      0.38    8.6   0.1    88   131   189   232   145   252 0.82 -
de_novo.Agseq_59442.1:63-1751 -            563 137202at6656         -            156      0.32    8.8  10.3   3   6     0.044        82    1.0   0.1    58   137   288   360   278   366 0.75 -
de_novo.Agseq_59442.1:63-1751 -            563 137202at6656         -            156      0.32    8.8  10.3   4   6     0.011        20    3.0   0.2    85   119   354   389   345   406 0.65 -
de_novo.Agseq_59442.1:63-1751 -            563 137202at6656         -            156      0.32    8.8  10.3   5   6     0.096   1.8e+02   -0.1   0.2    68   118   391   445   383   452 0.68 -
de_novo.Agseq_59442.1:63-1751 -            563 137202at6656         -            156      0.32    8.8  10.3   6   6      0.24   4.5e+02   -1.4   0.1   103   118   430   445   413   503 0.55 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /hpcdata/bcbb/homc/Barillaslab/Agam_hemo_transcriptomes/scripts/compare_txomes/busco/busco_downloads/lineages/arthropoda_odb10/hmms/137202at6656.hmm
# Target file:     /hpcdata/bcbb/homc/Barillaslab/Agam_hemo_transcriptomes/scripts/compare_txomes/busco/denovo_Agamhemo_BUSCO/run_arthropoda_odb10/metaeuk_output/initial_results/de_novo_transcriptome_with_genome_hits_and_expression_filtering.gffread.fa.modified.fas
# Option settings: hmmsearch --domtblout /hpcdata/bcbb/homc/Barillaslab/Agam_hemo_transcriptomes/scripts/compare_txomes/busco/denovo_Agamhemo_BUSCO/run_arthropoda_odb10/hmmer_output/initial_run_results/137202at6656.out --cpu 1 /hpcdata/bcbb/homc/Barillaslab/Agam_hemo_transcriptomes/scripts/compare_txomes/busco/busco_downloads/lineages/arthropoda_odb10/hmms/137202at6656.hmm /hpcdata/bcbb/homc/Barillaslab/Agam_hemo_transcriptomes/scripts/compare_txomes/busco/denovo_Agamhemo_BUSCO/run_arthropoda_odb10/metaeuk_output/initial_results/de_novo_transcriptome_with_genome_hits_and_expression_filtering.gffread.fa.modified.fas 
# Current dir:     /hpcdata/bcbb/homc/Barillaslab/Agam_hemo_transcriptomes/scripts/compare_txomes/busco
# Date:            Sun Jan 29 12:57:39 2023
# [ok]
