#                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
TCONS_00059326:90-839   -            250 110504at6656         -            198   6.8e-91  302.5   3.1   1   2     3e-87   4.9e-84  280.1   1.3     1   175     1   190     1   199 0.93 -
TCONS_00059326:90-839   -            250 110504at6656         -            198   6.8e-91  302.5   3.1   2   2   2.6e-08   4.1e-05   22.5   0.0   170   198   209   242   191   242 0.76 -
TCONS_00005079:105-1292 -            396 110504at6656         -            198   1.3e-06   27.3   0.0   1   1   1.2e-09     2e-06   26.8   0.0     4   144   168   309   164   350 0.84 -
TCONS_00009189:58-1245  -            396 110504at6656         -            198   1.3e-06   27.3   0.0   1   1   1.2e-09     2e-06   26.8   0.0     4   144   168   309   164   350 0.84 -
TCONS_00011213:56-1243  -            396 110504at6656         -            198   1.3e-06   27.3   0.0   1   1   1.2e-09     2e-06   26.8   0.0     4   144   168   309   164   350 0.84 -
TCONS_00012188:59-1246  -            396 110504at6656         -            198   1.3e-06   27.3   0.0   1   1   1.2e-09     2e-06   26.8   0.0     4   144   168   309   164   350 0.84 -
TCONS_00030690:55-747   -            231 110504at6656         -            198       1.9    7.3   7.4   1   2      0.37     6e+02   -0.9   0.5    26    57    11    42     3    60 0.60 -
TCONS_00030690:55-747   -            231 110504at6656         -            198       1.9    7.3   7.4   2   2   9.1e-05      0.15   10.9   1.4    12    60   176   224   168   228 0.90 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /hpcdata/bcbb/homc/Barillaslab/Agam_hemo_transcriptomes/scripts/busco/busco_downloads/lineages/arthropoda_odb10/hmms/110504at6656.hmm
# Target file:     /hpcdata/bcbb/homc/Barillaslab/Agam_hemo_transcriptomes/scripts/busco/refguided_Agamhemo_BUSCO/run_arthropoda_odb10/metaeuk_output/initial_results/all_transcripts.comprehensive.v6.gffread.fa.modified.fas
# Option settings: hmmsearch --domtblout /hpcdata/bcbb/homc/Barillaslab/Agam_hemo_transcriptomes/scripts/busco/refguided_Agamhemo_BUSCO/run_arthropoda_odb10/hmmer_output/initial_run_results/110504at6656.out --cpu 1 /hpcdata/bcbb/homc/Barillaslab/Agam_hemo_transcriptomes/scripts/busco/busco_downloads/lineages/arthropoda_odb10/hmms/110504at6656.hmm /hpcdata/bcbb/homc/Barillaslab/Agam_hemo_transcriptomes/scripts/busco/refguided_Agamhemo_BUSCO/run_arthropoda_odb10/metaeuk_output/initial_results/all_transcripts.comprehensive.v6.gffread.fa.modified.fas 
# Current dir:     /hpcdata/bcbb/homc/Barillaslab/Agam_hemo_transcriptomes/scripts/busco
# Date:            Thu Feb  9 16:50:19 2023
# [ok]
