#                                                                                --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name            accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#    ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
TCONS_00017408:169-1986  -            606 131276at6656         -            173   4.7e-48  158.3  21.2   1   3   1.3e-11   1.5e-10   36.1   0.2     1    33    12    44    12    52 0.93 -
TCONS_00017408:169-1986  -            606 131276at6656         -            173   4.7e-48  158.3  21.2   2   3       3.1        38   -0.9   0.3   144   169   180   205   130   251 0.71 -
TCONS_00017408:169-1986  -            606 131276at6656         -            173   4.7e-48  158.3  21.2   3   3   5.8e-39     7e-38  125.2   4.3    27   123   482   600   479   605 0.80 -
TCONS_00028025:143-1960  -            606 131276at6656         -            173   4.7e-48  158.3  21.2   1   3   1.3e-11   1.5e-10   36.1   0.2     1    33    12    44    12    52 0.93 -
TCONS_00028025:143-1960  -            606 131276at6656         -            173   4.7e-48  158.3  21.2   2   3       3.1        38   -0.9   0.3   144   169   180   205   130   251 0.71 -
TCONS_00028025:143-1960  -            606 131276at6656         -            173   4.7e-48  158.3  21.2   3   3   5.8e-39     7e-38  125.2   4.3    27   123   482   600   479   605 0.80 -
TCONS_00027499:169-2120  -            606 131276at6656         -            173     6e-48  158.0  20.9   1   3     2e-11   2.4e-10   35.6   0.2     1    33    12    44    12    52 0.93 -
TCONS_00027499:169-2120  -            606 131276at6656         -            173     6e-48  158.0  20.9   2   3       3.1        38   -0.9   0.3   144   169   180   205   130   251 0.71 -
TCONS_00027499:169-2120  -            606 131276at6656         -            173     6e-48  158.0  20.9   3   3   5.8e-39     7e-38  125.2   4.3    27   123   482   600   479   605 0.80 -
TCONS_00028026:408-1910  -            501 131276at6656         -            173   1.8e-38  127.1  15.5   1   2       2.2        27   -0.5   0.3   144   169    75   100    25   152 0.72 -
TCONS_00028026:408-1910  -            501 131276at6656         -            173   1.8e-38  127.1  15.5   2   2   4.3e-39   5.1e-38  125.6   4.3    27   123   377   495   374   500 0.80 -
TCONS_00041234:4700-4939 -             80 131276at6656         -            173   6.5e-22   73.2   4.5   1   2   1.5e-12   1.8e-11   39.2   0.2    30    63    12    45     3    47 0.90 -
TCONS_00041234:4700-4939 -             80 131276at6656         -            173   6.5e-22   73.2   4.5   2   2   5.8e-12     7e-11   37.3   0.6    32    63    46    77    43    80 0.93 -
TCONS_00043860:2046-2285 -             80 131276at6656         -            173   6.5e-22   73.2   4.5   1   2   1.5e-12   1.8e-11   39.2   0.2    30    63    12    45     3    47 0.90 -
TCONS_00043860:2046-2285 -             80 131276at6656         -            173   6.5e-22   73.2   4.5   2   2   5.8e-12     7e-11   37.3   0.6    32    63    46    77    43    80 0.93 -
TCONS_00043861:1899-2138 -             80 131276at6656         -            173   6.5e-22   73.2   4.5   1   2   1.5e-12   1.8e-11   39.2   0.2    30    63    12    45     3    47 0.90 -
TCONS_00043861:1899-2138 -             80 131276at6656         -            173   6.5e-22   73.2   4.5   2   2   5.8e-12     7e-11   37.3   0.6    32    63    46    77    43    80 0.93 -
TCONS_00043862:3858-4097 -             80 131276at6656         -            173   6.5e-22   73.2   4.5   1   2   1.5e-12   1.8e-11   39.2   0.2    30    63    12    45     3    47 0.90 -
TCONS_00043862:3858-4097 -             80 131276at6656         -            173   6.5e-22   73.2   4.5   2   2   5.8e-12     7e-11   37.3   0.6    32    63    46    77    43    80 0.93 -
TCONS_00046110:1060-1299 -             80 131276at6656         -            173   6.5e-22   73.2   4.5   1   2   1.5e-12   1.8e-11   39.2   0.2    30    63    12    45     3    47 0.90 -
