#                                                                                --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name            accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#    ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
TCONS_00060534:500-1619  -            275 117843at6656         -            161   1.8e-59  199.2   0.0   1   2   3.2e-33   1.4e-30  105.3   0.0     1    90    65   159    65   167 0.93 -
TCONS_00060534:500-1619  -            275 117843at6656         -            161   1.8e-59  199.2   0.0   2   2     4e-29   1.8e-26   91.9   0.0    87   161   182   266   160   266 0.81 -
TCONS_00007814:905-1426  -            174 117843at6656         -            161   4.3e-08   32.1   0.2   1   1   1.8e-10   7.8e-08   31.3   0.2    42    83    18    59     6    66 0.90 -
TCONS_00008902:857-1378  -            174 117843at6656         -            161   4.3e-08   32.1   0.2   1   1   1.8e-10   7.8e-08   31.3   0.2    42    83    18    59     6    66 0.90 -
TCONS_00040257:74-988    -            305 117843at6656         -            161   3.2e-07   29.3   0.1   1   1   1.2e-09   5.4e-07   28.6   0.1    31    82   125   176   121   189 0.83 -
TCONS_00045944:55-1070   -            305 117843at6656         -            161   3.2e-07   29.3   0.1   1   1   1.2e-09   5.4e-07   28.6   0.1    31    82   125   176   121   189 0.83 -
TCONS_00014986:552-1523  -            324 117843at6656         -            161   5.2e-06   25.4   0.1   1   1   2.1e-08   9.3e-06   24.6   0.1    41    76    39    74    26    95 0.81 -
TCONS_00016874:1018-2010 -            331 117843at6656         -            161     8e-06   24.8   0.1   1   1   3.3e-08   1.4e-05   23.9   0.1    37    83    52   101    32   110 0.81 -
TCONS_00015247:982-2847  -            622 117843at6656         -            161   9.1e-06   24.6   0.0   1   1   4.8e-08   2.1e-05   23.4   0.0    33    78   146   191   129   210 0.85 -
TCONS_00015248:980-2845  -            622 117843at6656         -            161   9.1e-06   24.6   0.0   1   1   4.8e-08   2.1e-05   23.4   0.0    33    78   146   191   129   210 0.85 -
TCONS_00019346:934-2799  -            622 117843at6656         -            161   9.1e-06   24.6   0.0   1   1   4.8e-08   2.1e-05   23.4   0.0    33    78   146   191   129   210 0.85 -
TCONS_00021780:917-2782  -            622 117843at6656         -            161   9.1e-06   24.6   0.0   1   1   4.8e-08   2.1e-05   23.4   0.0    33    78   146   191   129   210 0.85 -
TCONS_00026567:233-2098  -            622 117843at6656         -            161   9.1e-06   24.6   0.0   1   1   4.8e-08   2.1e-05   23.4   0.0    33    78   146   191   129   210 0.85 -
TCONS_00027186:930-2795  -            622 117843at6656         -            161   9.1e-06   24.6   0.0   1   1   4.8e-08   2.1e-05   23.4   0.0    33    78   146   191   129   210 0.85 -
TCONS_00045882:148-924   -            259 117843at6656         -            161   0.00014   20.7   0.1   1   1   4.9e-07   0.00021   20.1   0.1    42    76    22    56    13    76 0.87 -
TCONS_00039950:91-930    -            280 117843at6656         -            161   0.00016   20.6   0.1   1   1   5.5e-07   0.00024   20.0   0.1    42    76    43    77    34    97 0.87 -
TCONS_00003451:157-537   -            127 117843at6656         -            161    0.0014   17.5   0.0   1   1     4e-06    0.0017   17.2   0.0    30    81    32    84    22   103 0.86 -
TCONS_00032122:1315-1761 -            149 117843at6656         -            161    0.0029   16.5   0.0   1   1   1.1e-05    0.0046   15.8   0.0    36    84    48    95    39   122 0.79 -
TCONS_00037009:373-819   -            149 117843at6656         -            161    0.0029   16.5   0.0   1   1   1.1e-05    0.0046   15.8   0.0    36    84    48    95    39   122 0.79 -
TCONS_00028411:737-2258  -            483 117843at6656         -            161     0.064   12.1   1.4   1   3       3.4   1.5e+03   -2.1   0.1     5    29    99   123    96   136 0.77 -
TCONS_00028411:737-2258  -            483 117843at6656         -            161     0.064   12.1   1.4   2   3      0.03        13    4.6   0.1    44    76   218   249   205   256 0.87 -
TCONS_00028411:737-2258  -            483 117843at6656         -            161     0.064   12.1   1.4   3   3     0.016       6.9    5.5   0.0    81   106   296   320   280   334 0.80 -
TCONS_00027328:737-2197  -            487 117843at6656         -            161     0.066   12.0   1.4   1   3       3.5   1.5e+03   -2.1   0.1     5    29    99   123    96   136 0.77 -
TCONS_00027328:737-2197  -            487 117843at6656         -            161     0.066   12.0   1.4   2   3      0.03        13    4.6   0.1    44    76   218   249   205   256 0.87 -
TCONS_00027328:737-2197  -            487 117843at6656         -            161     0.066   12.0   1.4   3   3     0.016       6.9    5.5   0.0    81   106   296   320   280   334 0.80 -
TCONS_00027874:38-1584   -            487 117843at6656         -            161     0.066   12.0   1.4   1   3       3.5   1.5e+03   -2.1   0.1     5    29    99   123    96   136 0.77 -
TCONS_00027874:38-1584   -            487 117843at6656         -            161     0.066   12.0   1.4   2   3      0.03        13    4.6   0.1    44    76   218   249   205   256 0.87 -
TCONS_00027874:38-1584   -            487 117843at6656         -            161     0.066   12.0   1.4   3   3     0.016       6.9    5.5   0.0    81   106   296   320   280   334 0.80 -
TCONS_00049031:4469-4834 -            122 117843at6656         -            161     0.074   11.9   0.0   1   2   0.00074      0.32    9.8   0.0    33    77    15    58     9    73 0.80 -
TCONS_00049031:4469-4834 -            122 117843at6656         -            161     0.074   11.9   0.0   2   2      0.99   4.3e+02   -0.4   0.0    87    98    96   107    91   110 0.88 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /hpcdata/bcbb/homc/Barillaslab/Agam_hemo_transcriptomes/scripts/busco/busco_downloads/lineages/arthropoda_odb10/hmms/117843at6656.hmm
# Target file:     /hpcdata/bcbb/homc/Barillaslab/Agam_hemo_transcriptomes/scripts/busco/refguided_Agamhemo_BUSCO/run_arthropoda_odb10/metaeuk_output/initial_results/all_transcripts.comprehensive.v6.gffread.fa.modified.fas
# Option settings: hmmsearch --domtblout /hpcdata/bcbb/homc/Barillaslab/Agam_hemo_transcriptomes/scripts/busco/refguided_Agamhemo_BUSCO/run_arthropoda_odb10/hmmer_output/initial_run_results/117843at6656.out --cpu 1 /hpcdata/bcbb/homc/Barillaslab/Agam_hemo_transcriptomes/scripts/busco/busco_downloads/lineages/arthropoda_odb10/hmms/117843at6656.hmm /hpcdata/bcbb/homc/Barillaslab/Agam_hemo_transcriptomes/scripts/busco/refguided_Agamhemo_BUSCO/run_arthropoda_odb10/metaeuk_output/initial_results/all_transcripts.comprehensive.v6.gffread.fa.modified.fas 
# Current dir:     /hpcdata/bcbb/homc/Barillaslab/Agam_hemo_transcriptomes/scripts/busco
# Date:            Thu Feb  9 16:50:37 2023
# [ok]
