#                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
TCONS_00031309:90-383  -             98 157579at6656         -             84   8.3e-44  146.7   1.0   1   1   2.1e-46   9.5e-44  146.5   1.0     1    84     5    94     5    94 0.95 -
TCONS_00039294:78-884  -            120 157579at6656         -             84   1.5e-43  145.8   1.0   1   1   4.3e-46     2e-43  145.5   1.0     1    84     2    91     2    91 0.95 -
TCONS_00014133:129-548 -            140 157579at6656         -             84   1.1e-13   50.2   0.9   1   1   3.2e-16   1.5e-13   49.7   0.9     7    72    21    88    16   102 0.87 -
TCONS_00027591:131-632 -            134 157579at6656         -             84   1.3e-13   49.9   0.9   1   1   3.7e-16   1.7e-13   49.5   0.9     7    72    15    82    10    96 0.87 -
TCONS_00016393:81-308  -             76 157579at6656         -             84   1.8e-10   39.9   0.1   1   1   4.2e-13   1.9e-10   39.8   0.1     2    69     8    74     7    76 0.95 -
TCONS_00023857:103-417 -             76 157579at6656         -             84   1.8e-10   39.9   0.1   1   1   4.2e-13   1.9e-10   39.8   0.1     2    69     8    74     7    76 0.95 -
TCONS_00028430:96-320  -             75 157579at6656         -             84   8.7e-09   34.4   0.1   1   1   2.1e-11   9.7e-09   34.3   0.1     2    69     8    73     7    75 0.93 -
TCONS_00001967:209-403 -             65 157579at6656         -             84   9.3e-09   34.3   0.4   1   1   1.1e-10   5.2e-08   32.0   0.4     8    41     2    35     1    65 0.72 -
TCONS_00039595:88-465  -            126 157579at6656         -             84   1.8e-07   30.2   0.0   1   1   1.2e-09   5.4e-07   28.7   0.0     3    67    40   110    38   118 0.82 -
TCONS_00048641:88-465  -            126 157579at6656         -             84   1.8e-07   30.2   0.0   1   1   1.2e-09   5.4e-07   28.7   0.0     3    67    40   110    38   118 0.82 -
TCONS_00049415:92-469  -            126 157579at6656         -             84   1.8e-07   30.2   0.0   1   1   1.2e-09   5.4e-07   28.7   0.0     3    67    40   110    38   118 0.82 -
TCONS_00003795:169-393 -             75 157579at6656         -             84   4.6e-06   25.7   0.1   1   1   1.2e-08   5.5e-06   25.5   0.1     4    63     6    67     3    71 0.76 -
TCONS_00036818:146-349 -             68 157579at6656         -             84   5.4e-06   25.5   0.1   1   1   1.2e-08   5.6e-06   25.4   0.1    20    67    20    67     3    68 0.89 -
TCONS_00036819:156-359 -             68 157579at6656         -             84   5.4e-06   25.5   0.1   1   1   1.2e-08   5.6e-06   25.4   0.1    20    67    20    67     3    68 0.89 -
TCONS_00039190:120-323 -             68 157579at6656         -             84   5.4e-06   25.5   0.1   1   1   1.2e-08   5.6e-06   25.4   0.1    20    67    20    67     3    68 0.89 -
TCONS_00034500:112-231 -             40 157579at6656         -             84   9.2e-05   21.5   0.0   1   1   2.2e-07   9.9e-05   21.4   0.0    27    65     1    39     1    40 0.96 -
TCONS_00015871:116-418 -            101 157579at6656         -             84   0.00012   21.2   0.0   1   1   1.9e-05    0.0086   15.2   0.0    17    43    33    59    19    95 0.80 -
TCONS_00003309:138-308 -             57 157579at6656         -             84    0.0018   17.4   0.0   1   1   4.5e-06     0.002   17.2   0.0    18    65     6    52     2    56 0.86 -
TCONS_00008971:123-293 -             57 157579at6656         -             84    0.0018   17.4   0.0   1   1   4.5e-06     0.002   17.2   0.0    18    65     6    52     2    56 0.86 -
TCONS_00008972:146-316 -             57 157579at6656         -             84    0.0018   17.4   0.0   1   1   4.5e-06     0.002   17.2   0.0    18    65     6    52     2    56 0.86 -
TCONS_00017052:66-422  -            119 157579at6656         -             84    0.0094   15.1   0.0   1   2   4.9e-05     0.022   13.9   0.0     8    41    38    71    29    86 0.84 -
TCONS_00017052:66-422  -            119 157579at6656         -             84    0.0094   15.1   0.0   2   2       3.7   1.7e+03   -1.7   0.0    56    65    99   108    93   110 0.80 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /hpcdata/bcbb/homc/Barillaslab/Agam_hemo_transcriptomes/scripts/busco/busco_downloads/lineages/arthropoda_odb10/hmms/157579at6656.hmm
# Target file:     /hpcdata/bcbb/homc/Barillaslab/Agam_hemo_transcriptomes/scripts/busco/refguided_Agamhemo_BUSCO/run_arthropoda_odb10/metaeuk_output/initial_results/all_transcripts.comprehensive.v6.gffread.fa.modified.fas
# Option settings: hmmsearch --domtblout /hpcdata/bcbb/homc/Barillaslab/Agam_hemo_transcriptomes/scripts/busco/refguided_Agamhemo_BUSCO/run_arthropoda_odb10/hmmer_output/initial_run_results/157579at6656.out --cpu 1 /hpcdata/bcbb/homc/Barillaslab/Agam_hemo_transcriptomes/scripts/busco/busco_downloads/lineages/arthropoda_odb10/hmms/157579at6656.hmm /hpcdata/bcbb/homc/Barillaslab/Agam_hemo_transcriptomes/scripts/busco/refguided_Agamhemo_BUSCO/run_arthropoda_odb10/metaeuk_output/initial_results/all_transcripts.comprehensive.v6.gffread.fa.modified.fas 
# Current dir:     /hpcdata/bcbb/homc/Barillaslab/Agam_hemo_transcriptomes/scripts/busco
# Date:            Thu Feb  9 16:51:48 2023
# [ok]
