#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
de_novo.Agseq_108374.1:112-825                        -            238 99998at6656          -            216   1.6e-19   66.5   6.7   1   3   3.3e-14   1.2e-11   40.8   3.1    69   155     9   113     2   118 0.78 -
de_novo.Agseq_108374.1:112-825                        -            238 99998at6656          -            216   1.6e-19   66.5   6.7   2   3   2.4e-06   0.00087   15.1   0.1   126   157   119   150   115   154 0.89 -
de_novo.Agseq_108374.1:112-825                        -            238 99998at6656          -            216   1.6e-19   66.5   6.7   3   3   0.00019     0.071    8.8   0.0   125   158   165   198   159   205 0.87 -
de_novo.Agseq_65059.1:154-276                         -             41 99998at6656          -            216   1.3e-14   50.5   0.3   1   1   3.7e-17   1.3e-14   50.4   0.3    27    66     1    41     1    41 0.95 -
de_novo.Agseq_174469.1:42-989                         -            316 99998at6656          -            216   1.5e-14   50.3   9.7   1   3   1.3e-06   0.00047   16.0   0.1   112   160    58   107    52   110 0.85 -
de_novo.Agseq_174469.1:42-989                         -            316 99998at6656          -            216   1.5e-14   50.3   9.7   2   3   4.2e-11   1.6e-08   30.6   2.8    96   157   110   173   108   175 0.83 -
de_novo.Agseq_174469.1:42-989                         -            316 99998at6656          -            216   1.5e-14   50.3   9.7   3   3    0.0056         2    4.1   0.1   126   155   176   205   172   208 0.89 -
de_novo.Agm54242U_210819_213017_35588727_ccs.1:33-599 -            189 99998at6656          -            216   3.3e-09   32.8   0.1   1   2   2.6e-08   9.6e-06   21.5   0.1   115   157     4    48     1    52 0.87 -
de_novo.Agm54242U_210819_213017_35588727_ccs.1:33-599 -            189 99998at6656          -            216   3.3e-09   32.8   0.1   2   2   0.00013     0.049    9.4   0.0   125   158    63    96    57   104 0.87 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /hpcdata/bcbb/homc/Barillaslab/Agam_hemo_transcriptomes/scripts/compare_txomes/busco/busco_downloads/lineages/arthropoda_odb10/hmms/99998at6656.hmm
# Target file:     /hpcdata/bcbb/homc/Barillaslab/Agam_hemo_transcriptomes/scripts/compare_txomes/busco/denovo_Agamhemo_BUSCO/run_arthropoda_odb10/metaeuk_output/rerun_results/de_novo_transcriptome_with_genome_hits_and_expression_filtering.gffread.fa.modified.fas
# Option settings: hmmsearch --domtblout /hpcdata/bcbb/homc/Barillaslab/Agam_hemo_transcriptomes/scripts/compare_txomes/busco/denovo_Agamhemo_BUSCO/run_arthropoda_odb10/hmmer_output/rerun_results/99998at6656.out --cpu 1 /hpcdata/bcbb/homc/Barillaslab/Agam_hemo_transcriptomes/scripts/compare_txomes/busco/busco_downloads/lineages/arthropoda_odb10/hmms/99998at6656.hmm /hpcdata/bcbb/homc/Barillaslab/Agam_hemo_transcriptomes/scripts/compare_txomes/busco/denovo_Agamhemo_BUSCO/run_arthropoda_odb10/metaeuk_output/rerun_results/de_novo_transcriptome_with_genome_hits_and_expression_filtering.gffread.fa.modified.fas 
# Current dir:     /hpcdata/bcbb/homc/Barillaslab/Agam_hemo_transcriptomes/scripts/compare_txomes/busco
# Date:            Sun Jan 29 13:19:25 2023
# [ok]
