#                                                                                      --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                  accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#          ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
de_novo.AGAP001686-RA.1:0-401  -            134 149977at6656         -            103   1.5e-48  161.2   4.8   1   1   4.1e-51   2.3e-48  160.6   4.8     1    97     7   109     7   123 0.90 -
de_novo.Agseq_298978.1:0-236   -             79 149977at6656         -            103     3e-13   47.8   0.5   1   1     6e-16   3.4e-13   47.6   0.5     8    76     7    76     1    78 0.89 -
de_novo.AGAP011837-RA.1:0-284  -             95 149977at6656         -            103   3.1e-13   47.8   0.4   1   1   6.6e-16   3.7e-13   47.5   0.4     8    77     7    77     2    87 0.87 -
de_novo.AGAP002706-RA.1:0-227  -             76 149977at6656         -            103   5.3e-09   34.2   0.1   1   1   1.2e-11   6.5e-09   33.9   0.1     5    73     9    74     6    76 0.90 -
de_novo.Agseq_176875.1:84-449  -            122 149977at6656         -            103   2.6e-06   25.5   0.0   1   1     6e-09   3.4e-06   25.1   0.0     5    73    36   108    31   118 0.84 -
de_novo.AGAP005523-RA.1:34-228 -             65 149977at6656         -            103   3.1e-06   25.2   0.1   1   1   6.4e-09   3.6e-06   25.1   0.1    10    47     2    39     1    65 0.79 -
de_novo.Agseq_195894.1:368-556 -             63 149977at6656         -            103   3.4e-06   25.1   0.1   1   1   8.6e-09   4.8e-06   24.6   0.1    13    55     2    44     1    63 0.70 -
de_novo.Agseq_133425.1:122-292 -             57 149977at6656         -            103   0.00028   19.0   0.1   1   1   5.5e-07   0.00031   18.9   0.1    16    69     2    52     1    57 0.83 -
de_novo.AGAP003936-RA.1:1-354  -            118 149977at6656         -            103    0.0017   16.5   0.2   1   1   5.7e-06    0.0032   15.6   0.2    10    43    37    70    28   112 0.83 -
de_novo.AGAP006604-RA.1:39-263 -             75 149977at6656         -            103    0.0018   16.4   0.2   1   1   3.9e-06    0.0022   16.1   0.2     9    68     9    68     2    72 0.74 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /hpcdata/bcbb/homc/Barillaslab/Agam_hemo_transcriptomes/scripts/compare_txomes/busco/busco_downloads/lineages/arthropoda_odb10/hmms/149977at6656.hmm
# Target file:     /hpcdata/bcbb/homc/Barillaslab/Agam_hemo_transcriptomes/scripts/compare_txomes/busco/denovo_Agamhemo_BUSCO/run_arthropoda_odb10/metaeuk_output/initial_results/de_novo_transcriptome_with_genome_hits_and_expression_filtering.gffread.fa.modified.fas
# Option settings: hmmsearch --domtblout /hpcdata/bcbb/homc/Barillaslab/Agam_hemo_transcriptomes/scripts/compare_txomes/busco/denovo_Agamhemo_BUSCO/run_arthropoda_odb10/hmmer_output/initial_run_results/149977at6656.out --cpu 1 /hpcdata/bcbb/homc/Barillaslab/Agam_hemo_transcriptomes/scripts/compare_txomes/busco/busco_downloads/lineages/arthropoda_odb10/hmms/149977at6656.hmm /hpcdata/bcbb/homc/Barillaslab/Agam_hemo_transcriptomes/scripts/compare_txomes/busco/denovo_Agamhemo_BUSCO/run_arthropoda_odb10/metaeuk_output/initial_results/de_novo_transcriptome_with_genome_hits_and_expression_filtering.gffread.fa.modified.fas 
# Current dir:     /hpcdata/bcbb/homc/Barillaslab/Agam_hemo_transcriptomes/scripts/compare_txomes/busco
# Date:            Sun Jan 29 12:57:55 2023
# [ok]
