#                                                                                                                --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                            accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                    ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
de_novo.AGAP006254-RA.1:861-1703                         -            281 93152at6656          -            344   3.4e-22   75.4   6.5   1   1   9.5e-22   7.3e-20   67.7   6.5    42   296     1   277     1   281 0.86 -
de_novo.Agm54242U_210819_213017_108135905_ccs.1:786-1628 -            281 93152at6656          -            344   3.4e-22   75.4   6.5   1   1   9.5e-22   7.3e-20   67.7   6.5    42   296     1   277     1   281 0.86 -
de_novo.AGAP006820-RA.1:909-1661                         -            251 93152at6656          -            344   7.4e-19   64.4   0.3   1   2   4.7e-07   3.6e-05   19.4   0.0   193   286    13   106     3   117 0.84 -
de_novo.AGAP006820-RA.1:909-1661                         -            251 93152at6656          -            344   7.4e-19   64.4   0.3   2   2   2.4e-14   1.8e-12   43.4   0.1   191   284   158   251   137   251 0.95 -
de_novo.Agm54242U_210819_213017_60884737_ccs.1:1362-2051 -            230 93152at6656          -            344   1.4e-17   60.3   0.4   1   2   2.5e-14   1.9e-12   43.3   0.1   185   304    15   134     1   156 0.88 -
de_novo.Agm54242U_210819_213017_60884737_ccs.1:1362-2051 -            230 93152at6656          -            344   1.4e-17   60.3   0.4   2   2   8.3e-06   0.00065   15.3   0.0   130   189   159   220   152   228 0.87 -
de_novo.AGAP001559-RA.1:411-1625                         -            405 93152at6656          -            344   5.6e-14   48.4  11.5   1   4   1.4e-08   1.1e-06   24.5   0.1   186   290    25   133     6   140 0.82 -
de_novo.AGAP001559-RA.1:411-1625                         -            405 93152at6656          -            344   5.6e-14   48.4  11.5   2   4     0.022       1.7    4.1   0.4    54    95   154   196   143   202 0.51 -
de_novo.AGAP001559-RA.1:411-1625                         -            405 93152at6656          -            344   5.6e-14   48.4  11.5   3   4   7.3e-07   5.6e-05   18.8   0.1   129   220   209   307   203   310 0.85 -
de_novo.AGAP001559-RA.1:411-1625                         -            405 93152at6656          -            344   5.6e-14   48.4  11.5   4   4     0.016       1.2    4.5   0.2    72   165   318   401   309   404 0.57 -
de_novo.AGAP003279-RA.1:831-1862                         -            344 93152at6656          -            344   1.5e-11   40.4   1.2   1   3     0.049       3.8    2.9   0.1   110   149     2    43     1    56 0.82 -
de_novo.AGAP003279-RA.1:831-1862                         -            344 93152at6656          -            344   1.5e-11   40.4   1.2   2   3   0.00086     0.067    8.7   0.2    24   102    35   115    22   151 0.76 -
de_novo.AGAP003279-RA.1:831-1862                         -            344 93152at6656          -            344   1.5e-11   40.4   1.2   3   3   9.5e-10   7.4e-08   28.3   0.0   121   269   177   330   163   340 0.83 -
de_novo.Agseq_191669.1:1431-2324                         -            298 93152at6656          -            344   1.7e-11   40.2   3.3   1   3      0.38        29    0.0   0.0   304   338     1    35     1    41 0.72 -
de_novo.Agseq_191669.1:1431-2324                         -            298 93152at6656          -            344   1.7e-11   40.2   3.3   2   3     3e-05    0.0023   13.5   0.4   113   182    38   110    28   131 0.76 -
de_novo.Agseq_191669.1:1431-2324                         -            298 93152at6656          -            344   1.7e-11   40.2   3.3   3   3   6.3e-09   4.8e-07   25.6   0.0   239   320   213   297   211   298 0.92 -
de_novo.Agseq_53352.1:873-1598                           -            242 93152at6656          -            344   1.3e-10   37.3   0.1   1   3    0.0049      0.38    6.2   0.0   118   166    63   111    52   134 0.76 -
de_novo.Agseq_53352.1:873-1598                           -            242 93152at6656          -            344   1.3e-10   37.3   0.1   2   3   4.3e-07   3.3e-05   19.6   0.0   124   170   144   190   134   194 0.94 -
de_novo.Agseq_53352.1:873-1598                           -            242 93152at6656          -            344   1.3e-10   37.3   0.1   3   3    0.0017      0.13    7.7   0.0   112   152   199   241   195   242 0.76 -
de_novo.Agm54242Ue_220404_200923_61604644_ccs.1:252-833  -            194 93152at6656          -            344   1.6e-10   37.0   0.4   1   1   3.5e-12   2.7e-10   36.3   0.3   123   236    66   184    48   194 0.87 -
de_novo.Agseq_79972.1:84-839                             -            252 93152at6656          -            344   9.2e-10   34.5   5.5   1   2   4.5e-05    0.0035   12.9   0.0   203   241     1    39     1    49 0.87 -
de_novo.Agseq_79972.1:84-839                             -            252 93152at6656          -            344   9.2e-10   34.5   5.5   2   2     4e-06   0.00031   16.4   1.6    62   159   114   223    94   238 0.55 -
de_novo.AGAP002752-RA.1:111-1016                         -            302 93152at6656          -            344   2.1e-09   33.3   0.0   1   3    0.0001    0.0078   11.8   0.0   129   205    10    91     3   109 0.77 -
de_novo.AGAP002752-RA.1:111-1016                         -            302 93152at6656          -            344   2.1e-09   33.3   0.0   2   3   1.1e-05   0.00081   15.0   0.0   133   219   128   219   115   229 0.84 -
de_novo.AGAP002752-RA.1:111-1016                         -            302 93152at6656          -            344   2.1e-09   33.3   0.0   3   3     0.092       7.1    2.0   0.0   126   155   273   302   222   302 0.84 -
de_novo.Agm54242U_210909_035710_44565415_ccs.1:162-1058  -            299 93152at6656          -            344   3.7e-09   32.6   0.0   1   2   6.8e-06   0.00053   15.6   0.0   133   219    92   183     5   192 0.86 -
de_novo.Agm54242U_210909_035710_44565415_ccs.1:162-1058  -            299 93152at6656          -            344   3.7e-09   32.6   0.0   2   2   0.00086     0.066    8.7   0.0   126   186   237   297   185   299 0.87 -
de_novo.Agseq_102356.1:1185-1853                         -            223 93152at6656          -            344     8e-09   31.5   0.9   1   1   6.7e-10   5.2e-08   28.8   0.9   207   335    76   208     2   217 0.72 -
de_novo.Agm54242Ue_220404_200923_30804623_ccs.1:752-1597 -            282 93152at6656          -            344   1.3e-08   30.8   3.9   1   2   4.6e-10   3.6e-08   29.3   3.0   128   322    24   226    19   248 0.79 -
de_novo.Agm54242Ue_220404_200923_30804623_ccs.1:752-1597 -            282 93152at6656          -            344   1.3e-08   30.8   3.9   2   2   9.7e-05    0.0075   11.8   0.3    43    92   197   248   192   267 0.85 -
de_novo.AGAP001559-RA.1:1503-2240                        -            246 93152at6656          -            344   9.5e-08   27.9   3.7   1   3      0.15        12    1.3   0.0   129   166     1    38     1    43 0.89 -
de_novo.AGAP001559-RA.1:1503-2240                        -            246 93152at6656          -            344   9.5e-08   27.9   3.7   2   3   3.3e-06   0.00025   16.7   0.4   124   275    30   200    25   202 0.79 -
de_novo.AGAP001559-RA.1:1503-2240                        -            246 93152at6656          -            344   9.5e-08   27.9   3.7   3   3   1.7e-05    0.0013   14.3   0.9   125   173   181   231   160   245 0.76 -
de_novo.Agm54242U_210909_035710_128909698_ccs.1:963-1745 -            261 93152at6656          -            344   6.1e-07   25.3   3.0   1   3   0.00022     0.017   10.6   0.1    67   110    53    94    34   121 0.79 -
de_novo.Agm54242U_210909_035710_128909698_ccs.1:963-1745 -            261 93152at6656          -            344   6.1e-07   25.3   3.0   2   3     0.096       7.4    2.0   0.1   303   339   156   192   139   199 0.76 -
de_novo.Agm54242U_210909_035710_128909698_ccs.1:963-1745 -            261 93152at6656          -            344   6.1e-07   25.3   3.0   3   3   5.5e-05    0.0043   12.6   0.6   113   171   194   254   155   260 0.74 -
de_novo.Agm54242Ue_220404_200923_5768172_ccs.1:1719-2288 -            190 93152at6656          -            344   6.4e-07   25.2   0.2   1   3      0.59        45   -0.6   0.0   292   315     2    25     1    51 0.71 -
de_novo.Agm54242Ue_220404_200923_5768172_ccs.1:1719-2288 -            190 93152at6656          -            344   6.4e-07   25.2   0.2   2   3      0.21        16    0.9   0.0   212   247    55    90    12    95 0.70 -
de_novo.Agm54242Ue_220404_200923_5768172_ccs.1:1719-2288 -            190 93152at6656          -            344   6.4e-07   25.2   0.2   3   3   1.2e-07   9.2e-06   21.4   0.0   188   275   101   186    78   190 0.80 -
de_novo.Agm54242U_210819_213017_15207100_ccs.1:1396-2133 -            246 93152at6656          -            344   2.8e-06   23.1   4.1   1   1   1.4e-05    0.0011   14.5   3.5   123   276    67   239     1   241 0.83 -
de_novo.Agm54242U_210819_213017_152110593_ccs.1:465-1406 -            314 93152at6656          -            344   3.3e-05   19.6   1.5   1   2    0.0011     0.082    8.4   0.2    43   183    42    94     2   124 0.62 -
de_novo.Agm54242U_210819_213017_152110593_ccs.1:465-1406 -            314 93152at6656          -            344   3.3e-05   19.6   1.5   2   2    0.0003     0.023   10.2   0.1   128   188   227   288   216   312 0.89 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /hpcdata/bcbb/homc/Barillaslab/Agam_hemo_transcriptomes/scripts/compare_txomes/busco/busco_downloads/lineages/arthropoda_odb10/hmms/93152at6656.hmm
# Target file:     /hpcdata/bcbb/homc/Barillaslab/Agam_hemo_transcriptomes/scripts/compare_txomes/busco/denovo_Agamhemo_BUSCO/run_arthropoda_odb10/metaeuk_output/rerun_results/de_novo_transcriptome_with_genome_hits_and_expression_filtering.gffread.fa.modified.fas
# Option settings: hmmsearch --domtblout /hpcdata/bcbb/homc/Barillaslab/Agam_hemo_transcriptomes/scripts/compare_txomes/busco/denovo_Agamhemo_BUSCO/run_arthropoda_odb10/hmmer_output/rerun_results/93152at6656.out --cpu 1 /hpcdata/bcbb/homc/Barillaslab/Agam_hemo_transcriptomes/scripts/compare_txomes/busco/busco_downloads/lineages/arthropoda_odb10/hmms/93152at6656.hmm /hpcdata/bcbb/homc/Barillaslab/Agam_hemo_transcriptomes/scripts/compare_txomes/busco/denovo_Agamhemo_BUSCO/run_arthropoda_odb10/metaeuk_output/rerun_results/de_novo_transcriptome_with_genome_hits_and_expression_filtering.gffread.fa.modified.fas 
# Current dir:     /hpcdata/bcbb/homc/Barillaslab/Agam_hemo_transcriptomes/scripts/compare_txomes/busco
# Date:            Sun Jan 29 13:19:17 2023
# [ok]
