#                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
de_novo.AGAP007102-RA.1:21-1580 -            520 40092at6656          -            366  1.1e-110  368.6   7.4   1   4   4.7e-19   1.3e-15   55.8   0.2     1    50     1    50     1    66 0.89 -
de_novo.AGAP007102-RA.1:21-1580 -            520 40092at6656          -            366  1.1e-110  368.6   7.4   2   4   5.6e-41   1.6e-37  127.9   0.1    48   184    78   255    51   267 0.78 -
de_novo.AGAP007102-RA.1:21-1580 -            520 40092at6656          -            366  1.1e-110  368.6   7.4   3   4      0.13   3.6e+02   -1.6   0.0   174   194   265   285   255   299 0.75 -
de_novo.AGAP007102-RA.1:21-1580 -            520 40092at6656          -            366  1.1e-110  368.6   7.4   4   4   4.8e-58   1.4e-54  184.0   0.4   190   366   310   518   269   518 0.84 -
de_novo.AGAP006805-RA.1:0-806   -            269 40092at6656          -            366     1e-05   23.2   0.0   1   4    0.0012       3.5    5.0   0.0     6    37     9    41     5    47 0.84 -
de_novo.AGAP006805-RA.1:0-806   -            269 40092at6656          -            366     1e-05   23.2   0.0   2   4     0.006        17    2.8   0.0    52    79   100   126    94   136 0.87 -
de_novo.AGAP006805-RA.1:0-806   -            269 40092at6656          -            366     1e-05   23.2   0.0   3   4    0.0005       1.4    6.3   0.0    91   108   165   182   149   196 0.80 -
de_novo.AGAP006805-RA.1:0-806   -            269 40092at6656          -            366     1e-05   23.2   0.0   4   4    0.0032       8.9    3.7   0.0   112   159   212   263   206   268 0.73 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /hpcdata/bcbb/homc/Barillaslab/Agam_hemo_transcriptomes/scripts/compare_txomes/busco/busco_downloads/lineages/arthropoda_odb10/hmms/40092at6656.hmm
# Target file:     /hpcdata/bcbb/homc/Barillaslab/Agam_hemo_transcriptomes/scripts/compare_txomes/busco/denovo_Agamhemo_BUSCO/run_arthropoda_odb10/metaeuk_output/initial_results/de_novo_transcriptome_with_genome_hits_and_expression_filtering.gffread.fa.modified.fas
# Option settings: hmmsearch --domtblout /hpcdata/bcbb/homc/Barillaslab/Agam_hemo_transcriptomes/scripts/compare_txomes/busco/denovo_Agamhemo_BUSCO/run_arthropoda_odb10/hmmer_output/initial_run_results/40092at6656.out --cpu 1 /hpcdata/bcbb/homc/Barillaslab/Agam_hemo_transcriptomes/scripts/compare_txomes/busco/busco_downloads/lineages/arthropoda_odb10/hmms/40092at6656.hmm /hpcdata/bcbb/homc/Barillaslab/Agam_hemo_transcriptomes/scripts/compare_txomes/busco/denovo_Agamhemo_BUSCO/run_arthropoda_odb10/metaeuk_output/initial_results/de_novo_transcriptome_with_genome_hits_and_expression_filtering.gffread.fa.modified.fas 
# Current dir:     /hpcdata/bcbb/homc/Barillaslab/Agam_hemo_transcriptomes/scripts/compare_txomes/busco
# Date:            Sun Jan 29 12:58:54 2023
# [ok]
