#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
de_novo.Agm54242U_210909_035710_138741659_ccs.1:37-831 -            265 31615at6656          -            558  1.1e-140  466.3   1.4   1   1  4.3e-143  1.3e-140  466.0   1.4    97   343     8   265     2   265 0.96 -
de_novo.seqSigP-87158.1:126-662                        -            179 31615at6656          -            558   1.6e-08   30.0   0.1   1   2   1.7e-09     5e-07   25.0   0.0   147   194    35    82    29   109 0.91 -
de_novo.seqSigP-87158.1:126-662                        -            179 31615at6656          -            558   1.6e-08   30.0   0.1   2   2    0.0073       2.1    3.1   0.0   227   259   148   179   131   179 0.90 -
de_novo.Agm54242U_210819_213017_21234742_ccs.1:184-525 -            114 31615at6656          -            558   1.3e-07   27.0   0.0   1   1   4.7e-10   1.4e-07   26.9   0.0   148   194    34    80    14    92 0.91 -
de_novo.AGAP008963.R148.1:207-698                      -            164 31615at6656          -            558   1.6e-07   26.7   0.2   1   2   2.5e-09   7.3e-07   24.5   0.0   147   196    23    72    17   109 0.78 -
de_novo.AGAP008963.R148.1:207-698                      -            164 31615at6656          -            558   1.6e-07   26.7   0.2   2   2     0.054        16    0.2   0.0   227   258   133   163   118   164 0.87 -
de_novo.seqSigP-120224.1:207-698                       -            164 31615at6656          -            558   1.6e-07   26.7   0.2   1   2   2.5e-09   7.3e-07   24.5   0.0   147   196    23    72    17   109 0.78 -
de_novo.seqSigP-120224.1:207-698                       -            164 31615at6656          -            558   1.6e-07   26.7   0.2   2   2     0.054        16    0.2   0.0   227   258   133   163   118   164 0.87 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /hpcdata/bcbb/homc/Barillaslab/Agam_hemo_transcriptomes/scripts/compare_txomes/busco/busco_downloads/lineages/arthropoda_odb10/hmms/31615at6656.hmm
# Target file:     /hpcdata/bcbb/homc/Barillaslab/Agam_hemo_transcriptomes/scripts/compare_txomes/busco/denovo_Agamhemo_BUSCO/run_arthropoda_odb10/metaeuk_output/rerun_results/de_novo_transcriptome_with_genome_hits_and_expression_filtering.gffread.fa.modified.fas
# Option settings: hmmsearch --domtblout /hpcdata/bcbb/homc/Barillaslab/Agam_hemo_transcriptomes/scripts/compare_txomes/busco/denovo_Agamhemo_BUSCO/run_arthropoda_odb10/hmmer_output/rerun_results/31615at6656.out --cpu 1 /hpcdata/bcbb/homc/Barillaslab/Agam_hemo_transcriptomes/scripts/compare_txomes/busco/busco_downloads/lineages/arthropoda_odb10/hmms/31615at6656.hmm /hpcdata/bcbb/homc/Barillaslab/Agam_hemo_transcriptomes/scripts/compare_txomes/busco/denovo_Agamhemo_BUSCO/run_arthropoda_odb10/metaeuk_output/rerun_results/de_novo_transcriptome_with_genome_hits_and_expression_filtering.gffread.fa.modified.fas 
# Current dir:     /hpcdata/bcbb/homc/Barillaslab/Agam_hemo_transcriptomes/scripts/compare_txomes/busco
# Date:            Sun Jan 29 13:19:31 2023
# [ok]
