# BUSCO version is: 5.4.2 
# The lineage dataset is: arthropoda_odb10 (Creation date: 2020-09-10, number of genomes: 90, number of BUSCOs: 1013)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
774at6656	Complete	AgamP4_3L:5009144-5025074	3527.7	2381	https://www.orthodb.org/v10?query=774at6656	WD40-repeat-containing domain
980at6656	Complete	AgamP4_X:14841699-14871885	2241.5	1543	https://www.orthodb.org/v10?query=980at6656	leucine-rich repeat serine/threonine-protein kinase 1
997at6656	Complete	AgamP4_2L:39355320-39363437	3755.3	1835	https://www.orthodb.org/v10?query=997at6656	pre-mRNA-processing-splicing factor 8
1166at6656	Complete	AgamP4_2R:10216144-10230331	2284.4	1851	https://www.orthodb.org/v10?query=1166at6656	E3 ubiquitin-protein ligase UBR5 isoform X1
1885at6656	Complete	AgamP4_3R:27410674-27428755	1966.4	1785	https://www.orthodb.org/v10?query=1885at6656	SRCR-like domain
1990at6656	Complete	AgamP4_2L:20415521-20425710	2552.6	1910	https://www.orthodb.org/v10?query=1990at6656	dnaJ homolog subfamily C member 13
2148at6656	Complete	AgamP4_2R:44847769-44860436	1470.7	921	https://www.orthodb.org/v10?query=2148at6656	Pecanex-like protein 1
2456at6656	Complete	AgamP4_2R:8791642-8799968	3016.4	1976	https://www.orthodb.org/v10?query=2456at6656	Translational activator GCN1
2473at6656	Complete	AgamP4_2R:10871576-10878815	1714.9	1286	https://www.orthodb.org/v10?query=2473at6656	TATA-binding protein-associated factor 172
3310at6656	Complete	AgamP4_2R:31211004-31217733	2691.1	1415	https://www.orthodb.org/v10?query=3310at6656	Clathrin heavy chain
3585at6656	Complete	AgamP4_2L:26700132-26761891	1618.4	1374	https://www.orthodb.org/v10?query=3585at6656	Dbl homology (DH) domain
3644at6656	Complete	AgamP4_2R:66264-72061	1330.9	1058	https://www.orthodb.org/v10?query=3644at6656	DENN domain-containing protein 4C isoform X1
4136at6656	Complete	AgamP4_2R:38764436-38771345	1311.0	1027	https://www.orthodb.org/v10?query=4136at6656	EGF-like, conserved site
4227at6656	Complete	AgamP4_2R:36878395-36890037	2271.8	1586	https://www.orthodb.org/v10?query=4227at6656	myotubularin-related protein 13
4864at6656	Complete	AgamP4_X:11733785-11747272	2250.5	1658	https://www.orthodb.org/v10?query=4864at6656	protein sidekick isoform X1
5277at6656	Complete	AgamP4_2L:40281222-40288246	615.2	530	https://www.orthodb.org/v10?query=5277at6656	trafficking protein particle complex subunit 8
5616at6656	Complete	AgamP4_X:2987397-2991820	2102.0	1013	https://www.orthodb.org/v10?query=5616at6656	splicing factor 3B subunit 1
6453at6656	Complete	AgamP4_3R:20598513-20620505	2284.4	1355	https://www.orthodb.org/v10?query=6453at6656	Sec7, C-terminal
6563at6656	Complete	AgamP4_2L:19922905-19927046	1748.4	962	https://www.orthodb.org/v10?query=6563at6656	transcription initiation factor TFIID subunit 2
6715at6656	Complete	AgamP4_3R:46916719-46921068	1573.3	1007	https://www.orthodb.org/v10?query=6715at6656	cullin-associated NEDD8-dissociated protein 1
6820at6656	Complete	AgamP4_2L:16957946-16962938	1855.6	1019	https://www.orthodb.org/v10?query=6820at6656	splicing factor 3B subunit 3
7210at6656	Complete	AgamP4_2R:60847084-60875687	743.2	661	https://www.orthodb.org/v10?query=7210at6656	Transmembrane protein 132
8145at6656	Complete	AgamP4_2R:45776619-45780611	510.9	735	https://www.orthodb.org/v10?query=8145at6656	WASH complex subunit 7
8495at6656	Complete	AgamP4_2R:47462450-47466593	963.8	895	https://www.orthodb.org/v10?query=8495at6656	Elongator complex protein 1
8847at6656	Complete	AgamP4_2R:5848234-5855132	1471.3	1086	https://www.orthodb.org/v10?query=8847at6656	Sec7 domain
8913at6656	Complete	AgamP4_3R:30056131-30074439	1088.8	723	https://www.orthodb.org/v10?query=8913at6656	Ras guanine-nucleotide exchange factor catalytic domain superfamily
