#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
de_novo.AGAP009619-RA.1:0-1166                       -            389 89810at6656          -            174   3.7e-73  243.1   7.7   1   2   1.3e-33   1.8e-30  104.1   0.4     1    78    86   177    86   226 0.82 -
de_novo.AGAP009619-RA.1:0-1166                       -            389 89810at6656          -            174   3.7e-73  243.1   7.7   2   2   3.3e-43   4.6e-40  135.4   1.9    77   174   228   346   223   346 0.86 -
de_novo.Agm54242U_210909_035710_74517208_ccs.1:2-889 -            296 89810at6656          -            174   1.2e-68  228.4   8.4   1   2   7.8e-29   1.1e-25   88.5   0.5     9    78     1    84     1   125 0.82 -
de_novo.Agm54242U_210909_035710_74517208_ccs.1:2-889 -            296 89810at6656          -            174   1.2e-68  228.4   8.4   2   2     2e-43   2.8e-40  136.1   2.0    77   174   135   253   131   253 0.86 -
de_novo.Agseq_140684.1:0-875                         -            292 89810at6656          -            174   2.6e-51  172.0   2.7   1   2   7.9e-34   1.1e-30  104.8   0.4     1    78    86   177    86   221 0.82 -
de_novo.Agseq_140684.1:0-875                         -            292 89810at6656          -            174   2.6e-51  172.0   2.7   2   2   4.1e-21   5.7e-18   63.4   0.1    77   126   228   284   223   290 0.86 -
de_novo.Agseq_140683.1:0-788                         -            263 89810at6656          -            174   1.9e-40  136.6   3.3   1   2   6.5e-34   9.1e-31  105.1   0.5     1    78    86   177    86   219 0.82 -
de_novo.Agseq_140683.1:0-788                         -            263 89810at6656          -            174   1.9e-40  136.6   3.3   2   2   2.6e-10   3.7e-07   28.2   0.1    77   105   228   256   225   262 0.88 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /hpcdata/bcbb/homc/Barillaslab/Agam_hemo_transcriptomes/scripts/compare_txomes/busco/busco_downloads/lineages/arthropoda_odb10/hmms/89810at6656.hmm
# Target file:     /hpcdata/bcbb/homc/Barillaslab/Agam_hemo_transcriptomes/scripts/compare_txomes/busco/denovo_Agamhemo_BUSCO/run_arthropoda_odb10/metaeuk_output/initial_results/de_novo_transcriptome_with_genome_hits_and_expression_filtering.gffread.fa.modified.fas
# Option settings: hmmsearch --domtblout /hpcdata/bcbb/homc/Barillaslab/Agam_hemo_transcriptomes/scripts/compare_txomes/busco/denovo_Agamhemo_BUSCO/run_arthropoda_odb10/hmmer_output/initial_run_results/89810at6656.out --cpu 1 /hpcdata/bcbb/homc/Barillaslab/Agam_hemo_transcriptomes/scripts/compare_txomes/busco/busco_downloads/lineages/arthropoda_odb10/hmms/89810at6656.hmm /hpcdata/bcbb/homc/Barillaslab/Agam_hemo_transcriptomes/scripts/compare_txomes/busco/denovo_Agamhemo_BUSCO/run_arthropoda_odb10/metaeuk_output/initial_results/de_novo_transcriptome_with_genome_hits_and_expression_filtering.gffread.fa.modified.fas 
# Current dir:     /hpcdata/bcbb/homc/Barillaslab/Agam_hemo_transcriptomes/scripts/compare_txomes/busco
# Date:            Sun Jan 29 13:00:47 2023
# [ok]
